,produc_name,alcholicity,capacity,price,keywords
113,우희열 명인 한산소곡주 천상문 18도 500ml,18%,500ml,35000,"사과향,바닐라향,설선물,친구선물,추석선물,친구,부모님선물,냠냠맛있는,홈캉스,건강에좋은음식,"
114,[제주샘주] 고소리술 유리병 미니어쳐 29도 80ml,29%,80ml,7500,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
115,[제주샘주] 고소리술 도자기 미니어쳐 40도 65ml 소줏고리,40%,65ml,17100,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
116,황금 보리 산삼주 20도 375ml 삼계탕에 어울리는 술,20%,375ml,17000,"전통주선물,설선물,추석선물,명절선물,지인선물,연말모임,부모님생신,외국인선물,"
117,박흥선 명인 솔송주 담솔 40도 375ml 2015 리큐르 대상,40%,375ml,22000,"설선물,추석선물,명절선물,전통주선물,특별한선물,외국인선물,어른선물,어버이선물,"
118,[사곡양조원] 공주 오디주 15도 375ml,15%,375ml,7000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
119,김창수 명인 금산인삼주 미니어쳐 23도 120ml 일반증류주,23%,120ml,6600,"전통주선물,설선물,추석선물,명절선물,특별한선물,외국인선물,"
120,[영덕주조] 행복한 상상 초코맛 15도 300ml,15%,300ml,10000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술잔,술,홈캉스,"
121,[영덕주조] 2022년 호랑이 에디션 도원결의25 25도 360ml 복숭아 리큐르,25%,360ml,7400,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,술잔,술,홈캉스,냠냠맛있는,"
122,[영덕주조] 임인년 호랑이 에디션 도원결의15 15도 360ml 복숭아 리큐르,15%,360ml,6000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,술잔,술,홈캉스,냠냠맛있는,"
123,맑은내일 단감명작 7도 750ml 과실주,7%,750ml,20000,"사과향,바닐라향,설선물,친구선물,추석선물,친구,부모님선물,냠냠맛있는,홈캉스,건강에좋은음식,"
124,맑은내일 화이트와인 운암1945 12도 750ml,12%%,750ml,37000,"사과향,바닐라향,설선물,친구선물,추석선물,친구,부모님선물,냠냠맛있는,홈캉스,건강에좋은음식,"
125,한산소곡주 18도 700ml,18%,700ml,16500,"사과향,바닐라향,설선물,친구선물,추석선물,친구,부모님선물,냠냠맛있는,홈캉스,건강에좋은음식,"
126,[내국양조] 내국동주 시 13도 375ml,13%,375ml,22000,"전통주선물,설선물,추석선물,명절선물,외국인선물,선물용,직장상사선물,직장동료선물,냠냠맛있는,외국인손님선물,"
127,내국양주 내국동주 별 15도 375ml,15%,375ml,17000,"전통주선물,설선물,추석선물,명절선물,외국인선물,선물용,직장상사선물,직장동료선물,냠냠맛있는,외국인손님선물,"
128,내국양주 내국동주 바람 20도 375ml,20%,375ml,8800,"전통주선물,설선물,추석선물,명절선물,외국인선물,선물용,직장상사선물,직장동료선물,냠냠맛있는,외국인손님선물,"
129,내국양주 내국동주 하늘 20도 375ml,45%,375ml,49000,"전통주선물,설선물,추석선물,명절선물,외국인선물,선물용,직장상사선물,직장동료선물,냠냠맛있는,외국인손님선물,"
130,금산인삼주 수삼 단본 43도 720,43%,720ml,70000,"전통주선물,설선물,추석선물,명절선물,특별한선물,외국인선물,집들이선물,"
131,감홍로 40도 400ml,40%,400ml,54000,"설선물,추석선물,명절선물,지인선물,특별한선물,외국인선물,전통주선물,냠냠맛있는,홈캉스,건강에좋은음식,"
132,감사블루 14도 375ml,14%,750ml,37000,"전통주선물,설선물,추석선물,명절선물,지인선물,연말모임,부모님생신,외국인선물,차례상,"
133,붉은원숭이 10.8도 375ml,10.8%,375ml,21000,"전통주선물,설선물,추석선물,명절선물,지인선물,연말모임,부모님생신,외국인선물,"
134,감홍로 40도 700ml,40%,700ml,84000,"설선물,추석선물,명절선물,지인선물,특별한선물,외국인선물,전통주선물,냠냠맛있는,홈캉스,건강에좋은음식,"
135,[영덕주조] 증강현실 도원결의3종 선물세트 복숭아 증류주,15%,360ml,27000,"지인선물,명절선물,설선물,추석선물,어버이선물,가족모임,약주잔,술안주,술잔,술,"
136,[제주도 전통주] 토향 녹고의 눈물 미니어쳐 3종 세트 16도 80ml,16%,80ml,20000,"명절선물,설선물,전통주선물,명절고급선물,건강에좋은음식,냠냠맛있는,홈캉스,은사님선물,선물용,가족선물,"
137,[전주이강주] 오디여라38 375ml 38도 오디증류주 리큐르,38%,375ml,42000,"명절선물,연말모임,어른선물,시부모님선물,냠냠맛있는,건강에좋은음식,홈캉스,선물용,은사님선물,"
138,오계리 와인세트 21호,화이트,부드러움,78000,"지인선물,친구선물,크리스마스선물,친구생일선물,와인선물,집들이선물용,부부선물,직장상사선물,직장동료선물,"
139,오계리 와인세트 11호,화이트,부드러움,76000,"지인선물,친구선물,크리스마스선물,친구생일선물,와인선물,집들이선물용,부부선물,직장상사선물,직장동료선물,"
140,오계리 아이스 와인,화이트,부드러움,49000,"지인선물,친구선물,크리스마스선물,친구생일선물,와인선물,집들이선물용,부부선물,직장상사선물,직장동료선물,"
141,오계리 복숭아 와인,스위트,7%,21000,"지인선물,친구선물,크리스마스선물,친구생일선물,와인선물,집들이선물용,부부선물,직장상사선물,직장동료선물,"
142,오계리 화이트 와인,화이트,부드러움,19900,"지인선물,친구선물,크리스마스선물,친구생일선물,와인선물,집들이선물용,부부선물,직장상사선물,직장동료선물,"
143,[인어교주해적단] 인어교주해적술 15도 360ml,15%,360ml,24000,"추석선물,가족모임,냠냠맛있는,직장상사선물,직장동료선물,은사님선물,외국인손님선물,선물용,홈캉스,파티용,"
144,[제주도 우리술모음]니모메+미상+혼디주 제주도 3종모음,25%,350ml,29700,"명절선물,설선물,추석선물,가족모임,냠냠맛있는,직장상사선물,직장동료선물,은사님선물,외국인손님선물,"
145,청도감와인 와인 감그린 레귤러 12도 375ml,스위트,12%,10000,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
146,댄싱사이더 치키피치 4.5% 330ml 1병 국산 사과 한국 와인 복숭아 과실주 복숭아와인,4.5%,330ml,6900,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
147,댄싱사이더 신애유자 5% 330ml 1병 국산 사과 한국 와인 네추럴 시드르 화이트 선물,5%,330ml,5900,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
148,양촌양조 여유소주 40도 375ml 전통소주,40%,375ml,26500,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
149,양촌양조 여유 소주 25도 375ml 전통소주,25%,375ml,12800,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
150,양촌양조 여유 소주 19도 375ml 증류소주,19%,375ml,12500,"지인선물,친구생일선물,냠냠맛있는,은사님선물,직장상사선물,직장동료선물,와인선물,할아버지선물,"
