index,제품명,keyword
308,안동소주일품골드,증류주 쌀
309,안동소주필Feel,향기 목넘김 증류주
310,안성맞춤생막걸리,탁주 쌀
311,안양동동주,탁주 쌀 찹쌀
312,애석,약주/청주 쌀 명절
313,애피소드상그리아,탄닌감 탄산 과실주 포도 저도수
314,애피소드애플,탄산 과실주 사과 저도수
315,애피소드호프,기타주류 쌀 사과 보리 과일류
316,야관문막걸리,탁주 쌀
317,양촌생동동주,탁주 무감미료
318,양촌생막걸리,탁주
319,어우야,목넘김 기타주류 홈술
320,여강,향기 목넘김 증류주 쌀
321,여포의꿈레드드라이,탄닌감 과실주 포도 선물
322,여포의꿈레드스위트,탄닌감 탄산 과실주 포도 선물
323,여포의꿈화이트,과실주 포도 선물
324,연천아주,탁주 쌀
325,연천연주,약주/청주 쌀 저도수
326,연천우주,향기 증류주 쌀
327,영일만친구막걸리,탁주 쌀
328,예담은한산소곡주,약주/청주 쌀 찹쌀 명절
329,예담은한산소곡화주,증류주 쌀 찹쌀 명절
330,예밀와인레드드라이,과실주 포도
331,예밀와인로제,과실주 포도
332,예밀와인레드스위트,과실주 포도
333,예주,과실주 복분자
334,예천주복만월24,향기 증류주 복분자 베리류
335,예천주복만월40,향기 목넘김 증류주 복분자 베리류
336,예천주사월24,향기 증류주 오미자 베리류
337,예천주사월36.5,향기 목넘김 증류주 오미자 베리류
338,예화,약주/청주 쌀
339,옛날막걸리古,탁주 쌀 무감미료
340,오디랑,목넘김 과실주 오디 소용량
341,오매백주,담백 탁주 쌀 무감미료
342,오메기맑은술,약주/청주 쌀 선물
343,오메기술,담백 약주/청주 쌀 감초 홈술
344,오매락퍽,향기 기타주류 이색전통주
345,오목대,기타주류 보리 탄산
346,오미로제프리미어와인,탄닌감 과실주 오미자 선물
347,오미시앙스페셜,과실주 오미자
348,오산막걸리,담백 탁주 쌀 무감미료
349,오희스파클링막걸리,담백 탄산 탁주 오미자
350,왕율주,향기 목넘김 증류주 쌀 밤
351,왕피천을품은미소생막걸리,탁주 쌀
352,우곡생주,탁주 쌀 무감미료
353,우도땅콩전통주,담백 기타주류 땅콩 저도수
354,우렁이쌀손막걸리,탁주 쌀
355,운암1945,담백 약주/청주 쌀
356,원매,향기 기타주류 꿀 홈술
357,원매프리미엄,향기 기타주류 꿀
358,원조소곡화주,향기 목넘김 증류주 쌀 찹쌀 소용량
359,원조한산소곡주,약주/청주 쌀 찹쌀
360,월매쌀막걸리,탁주 소용량
361,유기농이도14,약주/청주 쌀 밀 선물
362,유기농이도42,증류주 쌀 선물
363,유자동동주,탁주 쌀
364,유자생막걸리,탁주 쌀
365,율무동동주,탁주 쌀 드라이
366,은자골곶감생탁배기,탁주
367,은자골생탁배기,탁주
368,이강주19,기타주류 쌀 꿀 생강 계피
369,이강주25,기타주류 쌀 꿀 생강 계피
370,이도32,목넘김 증류주
371,이동생쌀막걸리,탁주 탄산
372,이동쌀막걸리,탁주
373,이상헌약주,약주/청주 쌀 진한맛
374,이상헌탁주,탁주 쌀
375,이화백주,탁주 쌀 파티
376,인천생소성주,탁주 쌀 탄산
377,입장탁주,탁주 쌀
378,자두와인레드,과실주 이색전통주
379,자두와인화이트,과실주
380,자연담은복분자막걸리,탁주 쌀 복분자
381,자연송이주,기타주류 버섯
382,자희향국화주,약주/청주 쌀 찹쌀 무감미료
383,자희향나비생탁주,탁주 쌀 찹쌀
384,자희향탁주,탁주 쌀 찹쌀 선물
385,장수생막걸리,탁주 탄산
386,장수오미자주,탄닌감 과실주 오미자 베리류
387,장홍삼장수막걸리,탁주 삼
388,정고집나주배약주15,담백 약주/청주 쌀 과일류
389,정고집나주배약주9,약주/청주 쌀 과일류
390,정고집나주쌀생막걸리,탁주 쌀
391,정고집옛날생동동주,탁주 쌀
392,제주고소리술,향기 증류주
393,젤코바스페셜,과실주 포도 머루 베리류
394,젤코바캠벨와인,과실주 포도 베리류
395,젤코바프리미엄와인,과실주 포도 머루 베리류
396,조선주조사,약주/청주 쌀 홈술
397,조은술세종바나나주,담백 기타주류 쌀 과일류
398,주몽복분자주,기타주류 쌀 복분자 베리류
399,주산지막걸리,탁주 쌀 밀
400,주시락톡쏘는복분자막걸리,탁주 쌀 복분자
401,죽력고,향기 증류주 쌀 선물
402,죽향생막걸리,탁주 쌀
403,줄포생막걸리,탁주 쌀
404,지란지교무화과탁주,담백 탁주 쌀 찹쌀 밀 과일류
405,지란지교약주,약주/청주 쌀 찹쌀 밀 무감미료
406,지란지교탁주,담백 탁주 쌀 찹쌀
407,지리산정담생막걸리,탁주 쌀
408,지리산허브잎술,탁주 쌀
409,지장수생막걸리,탁주 쌀
410,지장수호박막걸리,탁주 쌀
411,지장수호박생막걸리,탁주 쌀
412,지평생쌀막걸리,탁주 쌀 가성비
413,지평생옛막걸리,탁주 밀 가성비
414,진도홍주루비콘,향기 기타주류 쌀
415,진맥소주22,향기 증류주 밀 홈술
416,진맥소주40,향기 목넘김 증류주 밀 홈술
417,진맥소주53,향기 목넘김 증류주 밀
418,진심홍삼인삼주19,증류주 쌀 삼 삼(蔘)류
419,진심홍삼인삼주38,증류주 쌀 삼
420,진심홍삼주19,증류주 쌀 삼
421,진쾌남,향기 목넘김 기타주류 쌀 오미자 구기자 밤 산수유 오가피
422,찰막걸리,탁주 쌀 찹쌀 밀
423,창원생탁주,탁주 쌀
424,천년담주,약주/청주 꿀
425,천년전주생막걸리,탁주 쌀
426,천년주,목넘김 증류주 쌀
427,천등산차례주,약주/청주 쌀
428,천마몽,기타주류 쌀
429,천마이야기,탁주 오미자
430,천매,향기 기타주류 꿀
431,천비향오양주약주,약주/청주 쌀 파티
432,천비향오양주탁주,탁주 쌀 선물
433,천비향화주,향기 목넘김 증류주 쌀 선물
434,천안연미주,약주/청주 삼 약재
435,천지주가햅쌀생막걸리,탁주 쌀
436,청남대블루베리생막걸리,담백 탄산 탁주 쌀 베리
437,청명주,담백 약주/청주 쌀 찹쌀 선물
438,청산녹수꿀막걸리,탁주 쌀 사과 꿀
439,청산녹수사미인주,탁주 쌀 꿀 무감미료
440,청산녹수생탁주,탁주 쌀 사과
441,청세주,약주/청주 쌀
442,청송얼음골동동주,탁주 쌀 사과 밀
443,청송주왕사과막걸리,탁주 쌀 사과 밀
444,청양둔송구기주,약주/청주 쌀 구기자 감초 선물
445,청진주,약주/청주 쌀 찹쌀 선물
446,청춘,약주/청주 쌀
447,초선의꿈로제,목넘김 탄닌감 과실주 포도 기념일
448,추사40,향기 증류주 사과 과일류
449,추사로제,과실주 사과
450,추사백25,향기 증류주 과일류
451,추사블루,과실주 베리 이색전통주
452,추사애플와인,과실주 사과 선물
453,추성주,증류주 쌀 오미자 구기자 선물
454,추시와인,기타주류
455,충주백주,향기 증류주 쌀
456,컨츄리산머루와인드라이,목넘김 과실주 머루
457,컨츄리산머루와인스위트,과실주 머루
458,컨츄리와인캠벨얼리스위트,목넘김 과실주 포도
459,코이버펑크머스캣베일리에이,과실주 포도 베리류
460,코이버펑크샤르도네세미용블랜드,과실주 포도 베리류
461,코이버펑크카베르네소비뇽,과실주 베리류
462,쿨샷7.5,과실주 복분자 저도수
463,크라테레드와인드라이,과실주 머루
464,크라테레드와인스위트,과실주 머루
465,크라테로제와인,탄닌감 과실주 머루
466,타미앙스,증류주 쌀 오미자 구기자 선물
467,톡쏘는알밤동동,기타주류 쌀 밤
468,톡한잔골드,향기 기타주류 쌀 보리
469,톡한잔소주,증류주 쌀 보리
470,티나Tina,향기 목넘김 기타주류 이색전통주
471,펀치쌀바나나 ,탄산 기타주류 쌀
472,편백숲산소막걸리,탁주 쌀 사과 저도수
473,편백숲산소막걸리딸기스파클링,탄산 탁주 쌀 찹쌀 이색전통주
474,편백숲산소막걸리순수령,탁주 쌀 찹쌀 홈술
475,평창머루주,과실주 머루
476,평창오디주,과실주 오디
477,포엠레드드라이와인,과실주 포도 머루
478,포엠레드스위트와인,과실주 포도
479,포엠로제와인,과실주 포도
480,포엠화이트와인,과실주 포도 과일류
481,풍남문,기타주류 보리
482,풍정사계동,향기 증류주 선물
483,풍정사계추,탁주 선물
484,풍정사계춘,약주/청주 선물
485,풍정사계하,약주/청주
486,하향주,약주/청주 쌀 찹쌀
487,하향주증류주,향기 목넘김 증류주 쌀 찹쌀
488,한비동충하초술,향기 기타주류 쌀 오가피
489,한비무병장수술,향기 기타주류 쌀 오미자 복분자 구기자 삼 산수유 오가피 삼(蔘)류
490,한비쌀소주,목넘김 증류주 쌀
491,한비오가피술,기타주류 쌀 오가피
492,한산소곡주,목넘김 약주/청주 쌀 찹쌀 생강 선물
493,한스오차드사과와인,과실주 사과 홈술
494,한시울,향기 목넘김 증류주 쌀
495,한주,향기 목넘김 증류주 쌀 밀
496,해미읍성딸기와인,과실주
497,해미읍성매실와인,과실주
498,해미읍성모과와인,과실주
499,해미읍성살구와인,과실주
500,해방주18.8,증류주 쌀 저도수
501,해방주38,향기 목넘김 증류주 쌀
502,해창12도생막걸리,탁주 쌀 찹쌀
503,해창9도생막걸리,탁주 쌀 찹쌀 홈술
504,해창찹쌀생막걸리,탁주 쌀 찹쌀
505,해파랑,약주/청주 쌀
506,햇찹쌀이하늘수,탁주 쌀 찹쌀
507,행운막걸리,탁주 쌀
508,행운주,약주/청주 밀
