index,제품명,단맛,신맛,청량감,바디감,도수,용량,가격,keyword,제조사,원재료
155,명술,2.0,1.4,1.6,3.0,20.0,375ml,30000,기타주류 삼 ,대농바이오우리산삼,"산양산삼,정제주,주정"
156,명인안동소주22,1.0,0.6,1.8,2.0,22.0,360ml,4500,증류주 쌀 ,명인안동소주,"쌀,누룩,정제수"
157,명인안동소주양반탈,1.0,1.0,1.6,3.0,45.0,800ml,35000,증류주 쌀 선물 ,명인안동소주,"쌀,누룩,정제수"
158,명인안동소주호리병,1.0,1.0,1.6,3.0,45.0,800ml,30000,증류주 쌀 선물 커플 친구 명절 안주 부모님 선물 기념일 파티 가족,명인안동소주,"쌀,누룩,정제수"
159,명인홍삼주,1.0,3.0,2.0,4.0,12.5,375ml,4000,약주/청주 쌀 삼 선물  저도수,농업회사법인(주)금산인삼주,"쌀,홍삼,누룩,정제수등"
160,명작복분자,3.0,1.0,1.0,5.0,13.0,375ml,6500,과실주 복분자 커플 친구 명절 안주 선물 저도수,(농)국순당고창명주(주),"복분자,효모,주정,정제수,과당,구연산"
161,명품진도홍주,3.0,0.2,2.4,3.0,38.0,375ml,20000,향기 증류주 쌀 보리 ,대대로영농조합법인,"쌀,보리,누룩,지초,정제수"
162,모월로,2.2,1.2,2.2,2.0,25.0,500ml,25000,향기 증류주 쌀 ,협동조합주담,"쌀,누룩,정제수"
163,모월연,1.0,3.0,1.0,2.0,13.0,500ml,18000,약주/청주 쌀 선물  저도수,협동조합주담,"쌀,누룩,정제수"
164,모월인,2.4,0.8,1.8,3.0,41.0,500ml,40000,향기 목넘김 증류주 쌀 파티 친구 명절 선물 기념일 추천 가족,협동조합주담,"쌀,누룩,정제수"
165,모월청,1.0,3.0,2.0,3.0,16.0,500ml,21000,약주/청주 쌀 ,협동조합주담,"쌀,누룩,정제수"
166,모을동주소주,2.4,1.0,2.2,4.0,43.0,350ml,15000,향기 목넘김 증류주 쌀 ,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수"
167,모을동주약주,4.0,3.0,3.0,4.0,13.0,375ml,13000,약주/청주 쌀  저도수,대작영농조합법인,"쌀,조제종국효모,정제효소,정제수"
168,무주구천동머루와인,2.0,2.0,1.0,3.0,12.0,750ml,25000,과실주 머루  저도수,덕유양조,국내산산머루
169,무주구천동산머루주,2.0,2.0,1.0,3.0,16.0,750ml,15000,과실주 머루 가성비 선물 친구 추천 가족,덕유양조,국내산산머루
170,문경바람백자25,1.8,0.6,2.2,3.0,25.0,375ml,16000,향기 목넘김 증류주 사과 과일류 ,농업회사법인(주)제이엘,사과
171,문경바람백자40,2.6,0.2,2.2,4.0,40.0,375ml,"24,000",향기 목넘김 증류주 사과 과일류 선물 디저트 추천,농업회사법인(주)제이엘,사과
172,문경바람오크,2.6,0.2,2.2,4.0,40.0,375ml,28000,향기 목넘김 증류주 사과 과일류 커플 디저트 친구 명절 안주 선물 추천 파티 가족 혼술,농업회사법인(주)제이엘,사과
173,문경주조오미자생막걸리,2.0,3.0,2.0,4.0,6.5,750ml,2500,담백 탄산 탁주 오미자 복날 선물 커플 친구 저도수,문경주조,"정제수,백미,입국,올리고당,물엿,허브,오미자,정제효소,아스파탐·아세셀펌칼륨"
174,문배술헤리티지23,1.0,0.6,1.8,1.0,23.0,375ml,5555,증류주 쌀 ,문배주양조원,"메조,찰수수,쌀"
175,문배술헤리티지25,1.0,0.2,1.8,1.0,25.0,375ml,6111,증류주 쌀 선물 친구 명절 반주 부모님 기념일 선물 파티 추천,문배주양조원,"메조,찰수수,쌀"
176,문배술헤리티지40,2.0,0.2,2.2,3.0,40.0,200ml,12000,증류주 쌀 선물 커플 디저트 친구 명절 반주 부모님 안주 선물 파티,문배주양조원,"메조,찰수수,쌀"
177,문희문경오미자수제전통주,3.0,1.0,3.0,3.0,12.0,500ml,15000,탁주 쌀 찹쌀 오미자 디저트 추천 안주 저도수,문경주조(전통술체험관),"햇찹쌀,전통누룩,오미자"
178,문희햇찹쌀수제전통주,3.0,1.0,2.0,3.0,13.0,500ml,15000,탁주 쌀 찹쌀 친구 저도수,문경주조,"유기농찹쌀,멥쌀,전통누룩,정제수"
179,미르25,2.0,0.0,1.0,3.0,25.0,375ml,18000,증류주 쌀 파티 선물,술샘,"쌀,누룩,정제수"
180,미르40,1.0,0.0,0.0,2.0,40.0,375ml,23000,증류주 쌀 선물 행사 추천,술샘,"쌀,누룩,정제수"
181,미생막걸리,2.0,3.0,3.0,3.0,6.0,750ml,1100,탁주 쌀 탄산  저도수,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,정제수"
182,미소생막걸리,3.0,3.0,3.0,2.0,7.0,750ml,1500,탁주 쌀  저도수,울진술도가,"쌀,누룩,정제수"
183,미소아이스,4.0,1.0,1.8,3.0,12.0,375ml,40000,과실주 포도  저도수,도란원,"포도,산화방지제,효모등"
184,미인약주,4.0,1.0,1.0,2.0,15.0,500ml,25000,약주/청주 쌀 찹쌀 선물  저도수,최행숙전통주가,"찹쌀,누룩,정제수"
185,미인탁주,3.0,1.0,1.0,3.0,10.0,500ml,15000,탁주 쌀 찹쌀 무감미료  저도수,최행숙전통주가,"찹쌀,누룩,정제수"
186,민속주안동소주,1.0,1.0,1.6,4.0,45.0,400ml,28000,증류주 쌀 ,민속주안동소주,"쌀,누룩,정제수"
187,바랑탁,4.0,2.0,1.0,4.0,15.0,375ml,18000,탁주 쌀 찹쌀 소용량  저도수,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,소맥분,정제수"
188,밤꽃향기,5.0,2.0,2.0,2.0,13.5,375ml,4000,약주/청주 쌀 밤 커플 명절 추천 친구 저도수,농업회사법인사곡양조원,"국내산쌀,밤,누룩,정제수"
189,방문주약주,2.0,3.0,3.0,3.0,15.0,500ml,7000,약주/청주 쌀 찹쌀 선물  저도수,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
190,방문주탁주,2.0,3.0,3.0,4.0,15.0,500ml,6000,탁주 쌀 찹쌀 선물  저도수,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
191,배꽃담은연생막걸리,3.0,3.0,4.0,2.0,10.0,720ml,20000,탁주 쌀  저도수,(주)농업회사법인술빚는전가네,"국내산쌀,누룩,효모,젖산,연잎,정제수"
192,배도가로아19레드,2.0,2.0,1.4,2.0,19.0,350ml,10000,향기 증류주 사과 ,주식회사배혜정농업회사법인,사과
193,배도가로아40옐로우,2.0,0.2,2.2,3.0,40.0,350ml,20000,증류주 쌀 과일류 선물,배혜정도가,"쌀,배"
194,백년향,3.0,3.0,2.0,3.0,10.0,500ml,11000,담백 탁주 쌀 무감미료 디저트 친구 추천 안주 저도수,(주)농업회사법인추연당,"국내산쌀,누룩,정제수"
195,백련맑은술,2.0,2.0,1.0,4.0,12.0,375ml,7000,담백 약주/청주 선물  저도수,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등"
196,백련생막걸리Misty,2.0,3.0,4.0,4.0,7.0,750ml,3000,담백 탁주 선물 디저트 부모님 선물 파티 추천 가족 혼술 행사 저도수,신평양조장,"백미,정제수,물엿,과당,누룩,백련잎,누룩등"
197,백련생막걸리Snow,2.0,2.0,2.0,4.0,6.0,750ml,1600,탁주  저도수,신평양조장,"백미,연잎,정제수,종국,효모,아스파탐,물엿등"
198,백운복분자와인,2.0,2.0,1.0,5.0,11.0,360ml,7000,기타주류 쌀 복분자 베리류  저도수,농업회사법인(주)백운주가,"쌀,토종복분자과즙"
199,백운복분자주,3.0,2.0,2.0,4.0,13.0,360ml,7000,기타주류 쌀 복분자 베리류  저도수,농업회사법인(주)백운주가,"쌀,토종복분자과즙"
200,백이주,2.0,2.0,1.0,3.0,35.0,800ml,30000,과실주 쌀 밀 감초 명절 ,농업회사법인(주)세찬제조사,"쌀,홍마늘액,감초,개량누룩,효모,정제효소제,정제수,밀함유"
201,백자주,3.0,3.0,2.0,3.0,10.0,500ml,18000,탁주 쌀 찹쌀  저도수,농업회사법인(주)산수,"국내산찹쌀,멥쌀,잣,누룩,정제수"
202,뱅꼬레레드와인,3.0,4.0,2.0,2.0,12.0,375ml,25000,과실주 포도  저도수,(주)한국와인,양조용포도
203,뱅꼬레로제와인,4.0,3.0,3.0,2.0,11.5,375ml,23000,과실주 포도 선물  저도수,(주)한국와인,양조용포도
204,뱅꼬레아이스와인,5.0,2.0,2.0,4.0,12.0,375ml,90000,과실주 포도  저도수,(주)한국와인,양조용포도
205,뱅꼬레화이트와인,4.0,3.0,3.0,2.0,11.0,375ml,23000,과실주 포도  저도수,(주)한국와인,양조용포도
206,베베마루캠벨로제,3.0,1.0,1.0,3.0,12.0,375ml,20000,과실주 포도  저도수,월류원,포도
207,베베마루캠벨로제스위트,2.0,2.0,1.0,3.0,10.0,375ml,20000,과실주 포도  저도수,월류원,포도
208,별바랑,4.0,2.0,2.0,4.0,17.5,375ml,27000,담백 약주/청주 쌀 찹쌀 파티 추천,농업회사법인(주)금계당,"찹쌀,맵쌀,누룩,정제수"
209,병영설성동동주,2.0,2.0,3.0,2.0,6.0,1700ml,2500,탁주 쌀 무감미료  저도수,병영양조장,"쌀,전분,효모,누룩,정제수"
210,병영설성생막걸리,3.0,2.0,2.0,2.0,6.0,750ml,3500,탁주 쌀 무감미료  저도수,병영양조장,"쌀,효모,누룩,정제수"
211,병영설성사또,2.2,0.2,2.2,3.0,40.0,700ml,40000,향기 목넘김 증류주 쌀 베리류 선물 반주,병영양조장,"쌀,효모,누룩,정제수"
212,병영소주,3.0,0.0,3.0,4.0,40.0,700ml,59400,증류주 보리 부모님,병영주조장,"정제수,보리증류식소주원액"
213,복분자아락,2.0,0.2,2.2,3.0,40.0,500ml,40000,향기 증류주 복분자 ,농업회사법인배상면주가고창LB,"복분자증류원액,정제수"
214,복분자음,2.0,2.0,1.0,3.0,12.0,375ml,6000,과실주 복분자 홈술  저도수,농업회사법인배상면주가고창LB,"복분자,정제수"
215,복순도가손막걸리,2.0,3.0,5.0,4.0,6.5,935ml,12000,탄산 탁주 파티 커플 친구 명절 반주 부모님 안주 선물 기념일 파티 추천 저도수,김정식,복순도가
216,볼빨간막걸리10,1.0,5.0,4.0,4.0,10.0,500ml,7000,탁주 쌀 찹쌀 홈술  저도수,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
217,볼빨간막걸리7,1.0,4.0,3.0,2.0,7.0,500ml,5000,탁주 쌀 찹쌀 홈술  저도수,농업회사법인(주)벗드림,"찹쌀,누룩,정제수"
218,봉하쌀생막걸리,1.0,2.0,3.0,2.0,6.0,750ml,2000,탁주 쌀  저도수,농업회사법인(주)죽향도가,"쌀,정제효소,젖산,효모,아스파탐,정제수"
219,부안참뽕막걸리,2.0,1.0,3.0,3.0,6.0,950ml,2000,탁주 쌀 오디  저도수,내변산(동진주조),"쌀,오디,종국,정제수,누룩,효모,아스파탐"
220,부안참뽕와인,3.0,2.0,1.0,4.0,13.0,750ml,18000,탄닌감 과실주 오디 선물 추천 저도수,내변산(동진주조),"오디,정제수,주정"
221,부자10,4.0,1.0,1.0,2.0,10.0,375ml,5000,담백 탁주 쌀 무감미료 커플 파티 친구 저도수,배혜정도가,"쌀,정제수,고과당,효모등"
222,불소곡주,2.0,1.0,2.2,4.0,43.0,700ml,30000,향기 기타주류 쌀 찹쌀 생강 고문헌 ,한산소곡주,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추"
223,붉은원숭이,4.0,2.0,2.0,4.0,10.8,375ml,7000,담백 탁주 쌀 이색전통주 커플 디저트 친구 안주 선물 추천 가족 저도수,술샘,"쌀,누룩,홍국,정제수"
224,블루베리이야기,3.0,1.0,1.0,3.0,12.0,375ml,6000,과실주 머루 베리  저도수,농업회사법인산들벗(주),"국내산산머루,블루베리"
225,산내울복분자주,4.0,4.0,3.0,3.0,16.0,750ml,20000,기타주류 복분자 베리류 ,거창사과원예농협,"복분자,설탕,주정,정제수,과당"
226,산내울사과애주,4.0,4.0,3.0,2.0,16.0,750ml,14000,기타주류 사과 과일류 ,거창사과원예농협,"사과,설탕,주정,정제수,과당"
227,산내울오미자주,2.0,3.0,3.0,2.0,16.0,750ml,20000,기타주류 오미자 선물 ,거창사과원예농협,"오미자,설탕,주정,정제수,과당"
228,산막대덕주,3.0,1.0,1.0,2.0,13.0,600ml,20000,약주/청주 쌀 밀  저도수,농업회사법인신탄진주조(주),"국내산쌀,우리밀누룩"
229,산막생유막걸리,1.0,3.0,3.0,4.0,6.0,750ml,1200,탁주 쌀 탄산  저도수,농업회사법인신탄진주조(주),"국내산쌀,소맥분,종국,효모"
230,삼선,1.0,4.0,2.0,2.0,10.0,500ml,15000,탁주 쌀 홈술  저도수,농업회사법인두루(주),"국내산쌀,누룩,정제수"
231,삼양춘생약주,2.0,1.0,1.0,2.0,15.0,500ml,20000,담백 약주/청주 쌀 선물 커플 디저트 친구 선물 추천 크리스마스 저도수,송도향전통주조,"강화섬쌀,전통누룩,정제수"
232,삼양춘생탁주,2.0,1.0,1.0,4.0,12.5,500ml,12000,담백 탁주 쌀 무감미료 반주 추천 안주 저도수,송도향전통주조,"강화섬쌀,전통누룩,정제수"
233,삼양춘청주,3.0,4.0,2.0,3.0,15.0,500ml,16800,담백 약주/청주 쌀 선물 커플 디저트 친구 안주 선물 추천 혼술 저도수,송도향전통주조,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모"
234,샤토미소랑,4.0,3.0,2.0,2.0,12.0,375ml,20000,과실주 포도 홈술  저도수,도란원,청포도
235,샤토미소레드프리미엄드라이,2.0,3.0,2.0,3.0,13.0,750ml,40000,과실주 포도  저도수,도란원,포도
236,샤토미소스위트,3.0,1.0,1.8,3.0,12.0,750ml,20000,목넘김 과실주 포도  저도수,도란원,"포도,산화방지제,효모,설탕등"
237,샤토미소스위트로제,3.0,1.0,2.0,2.0,12.0,375ml,20000,목넘김 탄닌감 과실주 포도 파티 커플 명절 선물 추천 가족 저도수,도란원,"포도,산화방지제,효모,설탕등"
238,샤토미소영동,2.6,0.2,2.2,4.0,40.0,200ml,30000,향기 증류주 포도 과일류 ,도란원,포도
239,샹스프랑보아즈,4.0,3.0,3.0,2.0,13.0,500ml,15000,과실주 복분자 파티  저도수,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수"
240,서울의밤,2.2,1.2,2.2,2.0,25.0,375ml,7500,향기 기타주류 꿀 홈술 복날 커플 디저트 친구 명절 반주 안주 부모님 선물 파티 추천 가족 혼술 계절,더한주류,"매실증류주원액,벌꿀,,노간주나무열매,정제수"
241,서주16,3.0,2.0,3.0,3.0,16.0,400ml,22500,약주/청주 감자 선물 ,오대서주양조,"백미,감자,누룩,효모,정제수"
242,석로주,1.0,1.0,1.0,4.0,13.0,720ml,34000,약주/청주 쌀 버섯 선물  저도수,석이원주조,"국내산쌀,석이버섯,누룩,효모,정제수"
243,석탄주약주,1.0,3.0,2.0,3.0,15.0,500ml,7000,약주/청주 쌀 찹쌀 명절  저도수,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
244,석탄주탁주,2.0,3.0,3.0,4.0,15.0,500ml,6000,탁주 쌀 찹쌀 고문헌  저도수,케이소주(전주가양주연구소),"국내산찹쌀,누룩,정제수"
245,선운산복분자와인,4.0,4.0,3.0,2.0,13.0,300ml,6000,과실주 복분자 소용량  저도수,(주)선운산복분자주흥진,"복분자,구연산,과당,구연산,아스파탐,주정,정제수"
246,선운산복분자주,4.0,4.0,3.0,2.0,16.0,375ml,6250,과실주 복분자 홈술 ,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산"
247,선운산복분자주프리미엄,4.0,3.0,3.0,2.0,19.0,700ml,40000,과실주 복분자 진한맛 ,(주)선운산복분자주흥진,"복분자,과당,구연산,아스파탐,무수아황산"
248,선운산의아침복분자막걸리,2.0,2.0,1.0,4.0,6.0,750ml,2333,탁주 쌀 복분자  저도수,(농)국순당고창명주(주),"복분자,쌀,효모,국,과당,구연산,젖산,정제수"
249,선호생막걸리,2.0,3.0,3.0,3.0,6.0,750ml,1700,담백 탄산 탁주 쌀 명절 부모님 저도수,김포금쌀탁주영농조합법인,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수"
250,설궁,2.0,0.4,1.4,2.0,30.0,700ml,10000,기타주류 꿀 삼 버섯 겨울 ,솔래원,"자연산송이버섯,산양산삼,토종벌꿀"
251,설레온,2.0,0.2,2.2,3.0,40.0,375ml,20000,증류주 쌀 ,농업회사법인대윤가야곡주조(주),"쌀,누룩,효모,정제수"
252,설련주,2.0,4.0,2.0,3.0,16.0,750ml,35000,약주/청주 쌀 찹쌀 선물 ,영농조합법인석전상온전통주가,"백련,찹쌀,멥쌀,누룩"
253,설성만월막걸리,2.0,3.0,2.0,3.0,8.0,750ml,4000,탁주 쌀  저도수,병영주조장,"정제수,유기농쌀국내산,누룩,유기농올리고당등"
254,설하담,3.0,1.0,4.0,2.0,8.0,475ml,3900,탄산 탁주 쌀 홈술 디저트 친구 선물 파티 혼술 행사 저도수,리큐랩주식회사,"국내산멥쌀,개량누룩,정제수,이산화탄소"
255,성포생막걸리,3.0,3.0,3.0,3.0,6.0,750ml,1100,탁주 쌀 친구 캠핑 부모님 선물 추천 파티 가족 저도수,성포양조장,"쌀,소맥분,전분당,정제수,무농약미나리추출액,정제효소,종국,효모,아스파탐"
256,세우리,1.4,1.0,2.4,4.0,45.0,700ml,250000,향기 목넘김 증류주 쌀 구기자 삼 ,제주샘영농조합법인,"산양삼,하수오,구기자,쌀"
257,세종대왕어주약주,3.0,1.0,1.0,3.0,15.0,500ml,25900,담백 약주/청주 쌀 선물 친구 명절 반주 안주 부모님 선물 파티 가족 저도수,농업회사법인장희도가(주),"쌀,누룩,정제수"
258,세종대왕어주탁주,3.0,3.0,1.0,2.0,13.0,500ml,16900,담백 탁주 쌀 고문헌 선물 커플 크리스마스 저도수,농업회사법인장희도가(주),"쌀,누룩,정제수"
259,세종쌀막걸리,3.0,1.0,3.0,3.0,6.0,750ml,1500,탁주  저도수,조은술세종,"정제수,백미,소맥분,전분당,효모,젖산등"
260,세종알밤주,4.0,1.0,3.0,4.0,6.0,750ml,1500,담백 기타주류 밤 커플 친구 명절 선물 추천 가족 저도수,조은술세종,"정제수,백미,소맥분,알밤,전분당,효모,젖산등"
261,세종오가닉,1.0,3.0,1.6,1.0,13.0,375ml,9000,목넘김 약주/청주 선물  저도수,조은술세종,"정제수,유기농백미,국,효모,정제효소,구연산"
262,세종청주생막걸리,2.0,1.0,3.0,3.0,6.0,750ml,1500,탁주 쌀  저도수,조은술세종,"쌀,소맥분,국,조제종국,효모,물엿등"
263,소나무와학,4.0,0.8,2.2,4.0,43.0,750ml,39000,향기 증류주 쌀 솔잎 ,용두산조은술,"쌀,솔잎,황기,당귀,효모,아스파탐"
264,소백산검은콩막걸리,3.0,1.0,1.0,3.0,6.0,750ml,1800,탁주  저도수,대강양조장,"백미,소맥분,검은콩,검은깨등"
265,소백산생막걸리,2.0,3.0,2.0,4.0,6.0,750ml,1980,탁주 쌀 파티  저도수,대강양조장,"쌀,정제수,소맥분,입국,효모등"
266,소백산생만찬주,2.0,2.0,2.0,2.0,6.0,750ml,1200,탁주 쌀  저도수,대강양조장,"정제수,쌀,소맥분,입국,효모,아스파탐등"
267,소백산오곡진상주,1.0,4.0,3.0,3.0,7.0,750ml,1500,탁주 쌀 보리 밀  저도수,대강양조장,"쌀,밀,보리,옥수수,조등"
268,소백산청동동주,2.0,1.0,2.0,2.0,10.0,"1,700ml",3000,약주/청주 쌀  저도수,대강양조장,"쌀,소맥분,누룩,주정,고과당,대추등"
269,소양강생막걸리,1.0,3.0,2.0,3.0,6.0,750ml,1200,탁주  저도수,소양강도가(구.천정양조장),"백미,소맥분,정제수,팽화미,아스파탐,물엿,정제수"
270,솔송주,2.0,1.0,1.0,3.0,13.0,375ml,7000,목넘김 담백 약주/청주 선물 커플 친구 반주 안주 선물 추천 가족 저도수,명가원영농조합법인,"정제수,백미,국내산송순농축액,누룩,조제종국,효모"
271,송명섭막걸리,1.0,3.0,3.0,3.0,6.0,900ml,3000,탁주 쌀 선물  저도수,태인합동주조,"국내산쌀,곡자,정제수"
272,송이주,1.0,4.0,1.0,2.0,13.0,375ml,12000,약주/청주 쌀 홈술 디저트 친구 안주 부모님 선물 추천 가족 저도수,내국양조,"국내산쌀,송이농충액,누룩,정제수"
273,송화백일주,2.8,0.2,3.0,3.0,38.0,500ml,45000,목넘김 기타주류 쌀 찹쌀 오미자 구기자 꿀 솔잎 산수유 ,송화양조사,"쌀,찹쌀,누룩,산수유,오미자,구기자,솔잎,송화가루,꿀"
274,순향주,2.0,2.0,2.0,2.0,15.0,375ml,18666,약주/청주 쌀 파티  저도수,(주)농업회사법인추연당,"국내산쌀,누룩,정제수"
275,술공방9,3.0,2.0,1.0,3.0,9.0,500ml,5000,담백 탄산 탁주 쌀 밀 커플 디저트 친구 명절 행사 안주 부모님 기념일 추천 파티 가족 계절 저도수,두이술공방,"쌀,밀누룩,국,효모,효소,올리고당"
276,술그리다생탁주,2.0,1.0,1.0,1.0,10.0,500ml,9000,담백 탁주 쌀 안주 부모님 저도수,농업회사법인(주)좋은술,"국내산쌀,누룩"
277,술샘이화주,4.0,1.0,0.0,1.0,8.0,100ml,6500,탁주 쌀 고문헌 선물 커플 친구 안주 저도수,술샘,"쌀,누룩,정제수"
278,술아국화주,4.0,3.0,2.0,4.0,15.0,375ml,18000,약주/청주 쌀 찹쌀 꽃 홈술 디저트 명절 반주 안주 부모님 선물 추천 가족 계절 저도수,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조국화꽃,증류주,정제수"
279,술아막걸리,3.0,4.0,3.0,4.0,8.0,450ml,7000,탁주 쌀 찹쌀  저도수,농업회사법인(주)술아원,"국내산찹쌀,누룩,정제수"
280,술아매화주,5.0,3.0,2.0,4.0,15.0,375ml,18000,약주/청주 쌀 찹쌀 꽃 홈술 선물 커플 디저트 부모님 저도수,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조매화꽃,증류주,정제수"
281,술아순곡주,5.0,3.0,2.0,5.0,20.0,375ml,18000,약주/청주 쌀 찹쌀 홈술 혼술 디저트,농업회사법인(주)술아원,"국내산찹쌀,누룩,증류주,정제수"
282,술아연화주,5.0,3.0,2.0,4.0,15.0,375ml,18000,약주/청주 쌀 찹쌀 꽃 홈술 부모님 저도수,농업회사법인(주)술아원,"국내산찹쌀,누룩,건조연화꽃,증류주,정제수"
283,술예쁘다생탁주,1.0,3.0,1.0,2.0,13.0,500ml,18000,탁주 쌀 무감미료  저도수,농업회사법인(주)좋은술,"국내산쌀,누룩"
284,술취한원숭이,4.0,2.0,2.0,2.0,10.8,375ml,7000,담백 탁주 쌀 이색전통주 커플 디저트 친구 캠핑 안주 부모님 선물 추천 크리스마스 가족 계절 저도수,술샘,"쌀,누룩,홍국,정제수"
285,술헤는밤,2.0,4.0,2.0,3.0,8.0,750ml,5900,탁주 쌀  저도수,농업회사법인두루(주),"국내산쌀,누룩,정제수"
286,스타베리오디와인,3.0,4.0,3.0,3.0,12.0,500ml,28000,과실주 포도  저도수,(주)한국와인,양조용포도
287,시나브로드글로리아,3.0,3.0,2.0,2.0,12.0,750ml,25000,과실주 포도 홈술  저도수,불휘농장,포도
288,시나브로레드드라이,2.0,3.0,3.0,3.0,12.0,750ml,25000,과실주 포도  저도수,불휘농장,포도
289,시나브로레드스위트,3.0,3.0,3.0,2.0,12.0,750ml,25000,과실주 포도 홈술  저도수,불휘농장,포도
290,시나브로로제와인,3.0,3.0,3.0,3.0,10.0,500ml,30000,과실주 포도 파티  저도수,불휘농장,포도
291,시나브로에뚜왈로제스파클링와인,2.0,3.0,4.0,2.0,5.0,750ml,30000,탄닌감 탄산 과실주 포도 파티 커플 디저트 친구 안주 선물 파티 추천 저도수,불휘농장,포도
292,시나브로에뚜왈스파클링,3.0,3.0,4.0,2.0,5.0,750ml,30000,탄산 과실주 포도 과일류 커플 친구 선물 파티 추천 크리스마스 행사 저도수,불휘농장,포도
293,시나브로화이트와인,4.0,4.0,4.0,3.0,11.0,500ml,30000,과실주 포도 선물  저도수,불휘농장,청포도
294,시인의마을우리쌀막걸리,2.0,3.0,3.0,4.0,10.0,700ml,7900,탁주 쌀  저도수,이원양조장,"쌀,누룩,정제수,무감미료"
295,신례명주,1.4,0.8,4.0,4.0,50.0,750ml,99000,증류주 귤 과일류 ,농업회사법인(주)시트러스,"감귤,감귤증류주"
296,신선주,3.0,3.0,2.0,4.0,16.0,750ml,19000,약주/청주 쌀 구기자 삼 솔잎 명절 ,용두산조은술,"쌀,능금,신선초,천궁,구기자,당귀솔잎,대추,인삼"
297,신선주백주,2.0,3.0,1.0,3.0,10.0,500ml,15000,목넘김 탁주 쌀 찹쌀 약재 무감미료  저도수,농업회사법인(주)신선,"청원생명쌀,정제수,찹쌀,전통누룩,약재,숙지황,생지황)"
298,신선주약주,3.0,3.0,3.0,3.0,16.0,500ml,25000,약주/청주 쌀 찹쌀 약재 선물 가족 부모님,농업회사법인(주)신선,"찹쌀,전통누룩,약재,숙지황,생지황)"
299,신선주증류주,2.8,4.0,2.2,3.0,42.0,375ml,60000,향기 증류주 쌀 찹쌀 약재 ,농업회사법인(주)신선,"찹쌀,전통누룩,약재,숙지황,생지황)"
300,심플리애플,4.0,2.4,2.4,1.0,12.0,350ml,9000,향기 기타주류 쌀 사과 꿀  저도수,주식회사배혜정농업회사법인,"쌀,사과즙,벌꿀"
301,아이싱,3.0,1.0,1.0,3.0,4.0,300ml,1300,탁주 쌀 탄산  저도수,국순당,"쌀,자몽엑기스"
302,아이원막걸리,3.0,3.0,3.0,2.0,6.0,750ml,1000,탁주 쌀 밀  저도수,이원양조장,"쌀,밀,입국,누룩,정제수"
303,아황주,1.0,3.0,1.0,3.0,17.0,500ml,23000,약주/청주 쌀 찹쌀 고문헌 ,최행숙전통주가,"찹쌀,멥쌀,누룩,정제수"
304,안동소주느낌19.8,2.8,2.0,1.8,2.0,19.8,360ml,4000,증류주 ,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수"
305,안동소주느낌30,2.0,0.4,2.0,3.0,30.0,360ml,6500,향기 목넘김 증류주 ,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수"
306,안동소주일품17,3.0,2.0,3.0,2.0,17.0,350ml,4000,증류주 쌀 선물 친구 안주,안동소주일품,"국내산쌀,입국"
307,안동소주일품21,3.0,2.0,1.8,2.0,21.0,350ml,4500,증류주 쌀 친구 캠핑 명절 부모님 선물 추천 가족,안동소주일품,"국내산쌀,입국"
308,안동소주일품골드,3.0,0.0,1.8,3.0,40.0,500ml,18000,증류주 쌀 커플 친구 명절 안주 부모님 선물 파티,안동소주일품,"국내산쌀,입국"
309,안동소주필Feel,2.2,0.2,2.2,3.0,40.0,500ml,25000,향기 목넘김 증류주 ,농업회사법인명품안동소주(주),"백미,누룩,효모,정제수"
310,안성맞춤생막걸리,3.0,2.0,3.0,2.0,6.0,"1,000ml",2000,탁주 쌀  저도수,한주양조,"국내산쌀,누룩,효모,젖산,정제효소,정제수"
311,안양동동주,3.0,3.0,3.0,3.0,6.0,800ml,1100,탁주 쌀 찹쌀  저도수,안양주조장,"쌀,찹쌀,전통누룩,정제수"
312,애석,4.0,1.0,3.0,3.0,15.0,500ml,30000,약주/청주 쌀 명절  저도수,농업회사법인두루(주),"국내산쌀,누룩,정제수"
313,애피소드상그리아,4.0,4.0,4.0,2.0,3.5,500ml,3500,탄닌감 탄산 과실주 포도 친구 저도수,(주)한국애플리즈,"포도와인,정제주정,정제수,포도농축액,고과당"
