index,제품명,단맛,신맛,청량감,바디감,도수,용량,가격,keyword,제조사,원재료
11,가평잣생막걸리,2.0,2.0,3.0,3.0,6.0,750ml,1450,탁주 쌀  저도수,가평우리술,"쌀,정제수,쌀입국,잣,효모,정제효소등"
12,감그린레귤러,3.0,3.0,3.0,2.0,12.0,750ml,18000,과실주 이색전통주  저도수,청도감와인(주),감
13,감그린스페셜,3.0,3.0,3.0,3.0,12.0,750ml,25000,과실주 이색전통주  저도수,청도감와인(주),감
14,감그린아이스와인,4.0,2.0,2.0,4.0,10.0,375ml,89000,과실주 이색전통주  저도수,청도감와인(주),감
15,감보드카,2.0,0.4,1.4,3.0,32.0,375ml,14000,목넘김 증류주 ,양촌감영농조합법인,감
16,감사,2.0,2.0,2.4,2.0,14.0,375ml,15000,목넘김 담백 약주/청주 쌀 선물 선물 추천 저도수,술샘,"쌀,누룩,정제수"
17,감아락25,2.0,0.8,2.0,2.0,25.0,500ml,26000,증류주 쌀 가을 ,(주)배상면주가,"감증류원액,쌀"
18,감악산머루주,4.0,4.0,3.0,3.0,12.0,360ml,28000,과실주 머루  저도수,산머루농원영농조합법인,"국내산산머루원액,주정"
19,감이슬,1.2,0.8,2.0,2.0,23.0,375ml,10000,증류주 과일류 ,양촌감영농조합법인,감
20,감자술13,3.0,2.0,3.0,2.0,13.0,700ml,14000,약주/청주 감자 선물 커플 반주 안주 선물 파티 가족 저도수,오대서주양조,"백미,감자,누룩,효모,정제수"
21,감홍로백자,3.0,0.2,2.2,4.0,40.0,700ml,75000,향기 증류주 쌀 약재 커플 친구 명절 부모님 안주 선물 기념일 추천 가족 행사,농업회사법인(주)감홍로,"쌀,조,가지약재"
22,감홍로청자,3.0,0.2,2.2,4.0,40.0,700ml,90000,향기 증류주 쌀 약재 ,농업회사법인(주)감홍로,"쌀,조,가지약재"
23,강소주,2.0,0.8,2.0,3.0,50.0,"1,800ml",11000,향기 증류주 쌀 소용량 ,내국양조,"국내산쌀,정제수"
24,강쇠,2.0,2.0,1.0,4.0,13.0,370ml,2500,약주/청주 쌀 오가피 선물 명절 친구 추천 저도수,농업회사법인(유)술소리,"쌀,누룩,오가피"
25,걍즐겨,3.0,4.0,3.0,3.0,8.0,600ml,6000,탁주 쌀 찹쌀 이색전통주  저도수,디오케이브루어리,"찹쌀,멥살,누룩,석류,히비스커스,정제수"
26,겨울소주25,1.8,0.6,2.0,4.0,25.0,360ml,10000,향기 목넘김 증류주 겨울 커플 디저트 친구 캠핑 명절 반주 안주 부모님 선물 추천 파티 가족 크리스마스 혼술 계절,두이술공방,"증류원액,효모,효소,정제수"
27,경기전,2.0,3.0,4.0,2.0,5.0,1000ml,27000,기타주류 보리 탄산  저도수,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수"
