index,제품명,keywords
118,동학1957,담백 약주/청주 쌀 선물 친구 명절 반주 안주 부모님 선물 추천 파티 혼술 저도수 친구 명절 반주 안주 부모님 선물 추천 파티 혼술
119,동해동동주,탁주 쌀 무감미료  저도수 
120,두레앙22,증류주 포도 과일류 커플 디저트 친구 명절 선물 추천 커플 디저트 친구 명절 선물 추천
121,두레앙브랜디,향기 증류주 포도  
122,두레앙와인,과실주 포도 가성비 선물 파티 추천 친구 저도수 선물 파티 추천 친구
123,두레앙증류주,증류주 포도 과일류 안주 안주
124,두리향,향기 목넘김 증류주 쌀 찹쌀 고문헌  
125,두유노,탁주 쌀 찹쌀 밀  저도수 
126,라이스퐁당13,약주/청주 쌀 찹쌀 홈술  저도수 
127,라이스퐁당17,약주/청주 쌀 찹쌀  
128,레돔내추럴스파클링로제와인,과실주 포도 파티  저도수 
129,레돔시드르,과실주 사과 파티  저도수 
130,려25,향기 증류주 쌀 고구마 선물 디저트 친구 안주 부모님 선물 디저트 친구 안주 부모님 선물
131,려고구마증류소주25,증류주 고구마 선물 명절 친구 추천 선물 명절 친구 추천
132,려고구마증류소주40,증류주 고구마 가족 선물 부모님 가족 선물 부모님
133,로얄안동소주18년,증류주 쌀  
134,르깔롱,향기 목넘김 기타주류 과일류  
135,마셔블랑,증류주 귤  저도수 
136,마주소곡주,담백 약주/청주 쌀 찹쌀 밀 선물 커플 친구 명절 안주 선물 가족 커플 친구 명절 안주 선물 가족
137,마주소곡화주,향기 목넘김 증류주 쌀 찹쌀 밀 선물  
138,막시모40,향기 목넘김 증류주 오미자 베리류 친구 친구
139,만강에비친달,담백 탁주 쌀 선물 안주 저도수 안주
140,맑은내일Winery단감명작,탄닌감 과실주 과일류 선물 저도수 선물
141,맑은내일발효막걸리,탁주 쌀 탄산  저도수 
142,맑은내일우포,담백 약주/청주 쌀 홈술  저도수 
143,맑은문희주,약주/청주 쌀 찹쌀 파티 선물 안주 저도수 선물 안주
144,맑은술해밀,약주/청주 쌀  저도수 
145,매실막걸리,탁주 쌀  저도수 
146,매실원주15,기타주류 꿀 캠핑 명절 부모님 선물 추천 저도수 캠핑 명절 부모님 선물 추천
