단맛,신맛,청량감,바디감,도수,index
3.0,1.0,1.0,3.0,4.0,301
3.0,3.0,3.0,2.0,6.0,302
1.0,3.0,1.0,3.0,17.0,303
2.8,2.0,1.8,2.0,19.8,304
2.0,0.4,2.0,3.0,30.0,305
3.0,2.0,3.0,2.0,17.0,306
3.0,2.0,1.8,2.0,21.0,307
3.0,0.0,1.8,3.0,40.0,308
2.2,0.2,2.2,3.0,40.0,309
3.0,2.0,3.0,2.0,6.0,310
3.0,3.0,3.0,3.0,6.0,311
4.0,1.0,3.0,3.0,15.0,312
4.0,4.0,4.0,2.0,3.5,313
4.0,4.0,4.0,2.0,3.5,314
4.0,4.0,4.0,2.0,3.5,315
1.0,3.0,2.0,1.0,6.0,316
2.0,3.0,2.0,2.0,10.0,317
2.0,2.0,3.0,2.0,6.0,318
2.4,2.6,1.4,2.0,16.0,319
1.8,0.6,2.2,3.0,25.0,320
2.0,2.0,1.8,2.0,12.0,321
4.0,1.0,1.8,3.0,12.0,322
1.0,2.0,1.6,2.0,12.0,323
2.0,4.0,3.0,3.0,8.0,324
2.0,4.0,2.0,3.0,12.0,325
1.6,1.2,1.4,3.0,22.0,326
2.0,2.0,3.0,2.0,6.0,327
4.0,1.0,1.0,3.0,16.0,328
3.0,0.8,1.8,3.0,41.0,329
1.0,1.0,2.0,3.0,13.0,330
1.0,1.0,2.0,3.0,12.0,331
4.0,1.0,2.0,3.0,12.0,332
1.0,3.0,1.0,3.0,15.0,333
2.0,0.8,2.2,2.0,24.0,334
2.6,0.2,2.2,4.0,40.0,335
2.0,0.8,2.2,2.0,24.0,336
2.4,0.4,1.4,2.0,36.5,337
2.0,1.0,1.0,3.0,13.0,338
2.0,2.0,1.0,4.0,7.8,339
3.0,1.0,2.2,1.0,13.0,340
5.0,1.0,1.0,1.0,12.0,341
1.0,5.0,1.0,3.0,16.0,342
2.0,2.0,1.0,3.0,13.0,343
3.0,0.2,2.2,4.0,40.0,344
2.0,3.0,4.0,3.0,5.0,345
3.0,4.0,4.0,4.0,12.0,346
1.0,3.0,1.4,2.0,12.0,347
2.0,4.0,2.0,3.0,6.0,348
1.0,3.0,3.0,2.0,8.5,349
1.8,0.6,2.2,3.0,25.0,350
3.0,3.0,3.0,2.0,7.0,351
4.0,2.0,2.0,5.0,10.0,352
4.0,1.0,3.0,3.0,6.0,353
4.0,1.0,3.0,2.0,7.5,354
3.0,3.0,2.6,3.0,12.0,355
3.2,2.2,2.0,3.0,15.0,356
2.0,1.4,1.6,4.0,20.0,357
2.2,0.8,1.6,2.0,41.0,358
3.0,1.0,4.0,2.0,16.0,359
2.0,2.0,3.0,1.0,6.0,360
3.0,3.0,3.0,2.0,14.0,361
2.0,0.0,0.0,3.0,42.0,362
2.0,3.0,3.0,3.0,6.0,363
2.0,3.0,3.0,5.0,5.0,364
2.0,4.0,3.0,4.0,14.0,365
1.0,1.0,3.0,5.0,6.0,366
1.0,3.0,3.0,3.0,5.0,367
2.0,0.0,2.0,4.0,19.0,368
2.0,0.0,2.0,2.0,25.0,369
2.0,0.4,1.4,2.0,32.0,370
1.0,3.0,3.0,4.0,6.0,371
3.0,1.0,1.0,3.0,6.0,372
3.0,3.0,3.0,3.0,18.0,373
2.0,3.0,3.0,3.0,19.0,374
3.0,3.0,4.0,3.0,6.0,375
1.0,2.0,1.0,2.0,6.0,376
2.0,2.0,2.0,2.0,6.0,377
2.0,3.0,2.0,2.0,12.0,378
2.0,3.0,2.0,4.0,12.0,379
2.0,1.0,1.0,5.0,6.0,380
1.0,1.8,0.8,1.0,18.0,381
1.0,2.0,1.0,4.0,15.0,382
2.0,1.0,2.0,2.0,8.0,383
2.0,2.0,1.0,3.0,12.0,384
2.0,3.0,3.0,3.0,6.0,385
3.0,4.0,4.0,3.0,16.5,386
1.0,4.0,3.0,5.0,6.0,387
4.0,2.0,3.0,2.0,15.0,388
4.0,2.0,3.0,3.0,9.0,389
3.0,3.0,3.0,3.0,6.0,390
3.0,3.0,4.0,3.0,6.0,391
2.2,0.2,2.2,3.0,40.0,392
2.0,4.0,2.0,3.0,11.5,393
3.0,4.0,2.0,3.0,13.5,394
1.0,4.0,2.0,4.0,12.0,395
3.0,3.0,2.0,3.0,14.0,396
3.0,1.0,3.0,4.0,4.0,397
3.0,1.0,1.0,3.0,16.0,398
2.0,1.0,2.0,2.0,6.0,399
5.0,1.0,3.0,5.0,6.0,400
2.0,0.4,1.4,3.0,32.0,401
1.0,2.0,4.0,1.0,6.0,402
2.0,2.0,3.0,4.0,6.0,403
4.0,4.0,1.0,4.0,12.0,404
4.0,4.0,1.8,4.0,17.0,405
4.0,4.0,1.0,4.0,13.0,406
1.0,3.0,2.0,1.0,6.0,407
1.0,2.0,2.0,1.0,6.0,408
3.0,2.0,3.0,3.0,6.0,409
2.0,1.0,1.0,2.0,6.0,410
3.0,1.0,2.0,2.0,6.0,411
4.0,1.0,4.0,2.0,5.0,412
4.0,1.0,2.0,2.0,5.0,413
3.0,0.0,1.8,3.0,40.0,414
1.4,1.4,1.8,2.0,22.0,415
2.4,0.2,1.8,2.0,40.0,416
2.0,0.8,2.0,3.0,53.0,417
1.0,0.0,0.0,3.0,19.0,418
1.0,0.0,0.0,2.0,38.0,419
3.0,1.0,1.0,2.0,19.0,420
1.8,0.6,2.2,3.0,25.0,421
2.0,2.0,3.0,2.0,5.5,422
3.0,3.0,3.0,3.0,6.0,423
2.0,1.0,1.0,4.0,15.0,424
1.0,1.0,2.0,3.0,6.0,425
2.2,1.2,2.2,2.0,25.0,426
3.0,2.0,2.0,3.0,11.0,427
3.0,0.2,2.4,3.0,38.0,428
2.0,2.0,2.0,5.0,6.0,429
2.0,0.4,1.4,4.0,30.0,430
2.0,2.0,1.0,3.0,16.0,431
2.0,2.0,1.0,3.0,14.0,432
2.4,0.2,1.8,2.0,40.0,433
2.0,3.0,4.0,2.0,13.0,434
3.0,2.0,2.0,5.0,6.0,435
3.0,2.0,3.0,2.0,6.0,436
4.0,4.0,2.0,4.0,17.0,437
1.0,2.0,3.0,4.0,8.0,438
2.0,2.0,4.0,3.0,8.0,439
1.0,3.0,3.0,3.0,6.0,440
3.0,1.0,1.0,4.0,18.0,441
2.0,3.0,4.0,2.0,6.0,442
2.0,3.0,4.0,2.0,6.0,443
3.0,1.0,1.0,2.0,16.0,444
2.0,2.0,1.0,1.0,16.0,445
2.0,2.0,1.0,3.0,15.0,446
1.0,3.0,1.4,2.0,12.0,447
2.2,0.2,2.2,3.0,40.0,448
2.0,3.0,2.0,1.0,12.0,449
3.0,0.8,2.0,2.0,25.0,450
3.0,1.0,2.0,3.0,12.0,451
3.0,1.0,2.0,3.0,12.0,452
2.0,0.0,3.0,2.0,25.0,453
3.0,2.0,2.0,3.0,12.5,454
2.6,0.6,2.0,3.0,35.0,455
1.0,3.0,2.0,3.0,14.0,456
2.0,3.0,2.2,2.0,12.0,457
3.0,1.0,1.8,3.0,12.0,458
3.0,3.0,3.0,4.0,12.0,459
2.0,4.0,4.0,3.0,11.0,460
1.0,2.0,2.0,3.0,12.0,461
3.0,1.0,2.0,2.0,7.5,462
2.0,2.0,3.0,3.0,11.5,463
4.0,2.0,3.0,1.0,11.5,464
4.0,1.0,3.0,3.0,11.5,465
1.0,1.0,2.0,4.0,40.0,466
4.0,1.0,3.0,3.0,6.0,467
3.0,0.8,2.2,4.0,43.0,468
2.0,0.4,1.4,3.0,30.0,469
