제품명,설명
해파랑,영덕의 특산물 해방풍으로 빚은 약주
해방주 38%,영덕의 특산물 해방풍으로 빚은 증류주
천년주,신이 내린 약초 천년초로 빚은 증류주
해미읍성 딸기와인,다양한 과실주를 빚는 세인트하우스 와이너리의 딸기와인
해미읍성 매실와인,다양한 과실주를 빚는 세인트하우스 와이너리의 매실와인
해미읍성 살구와인,다양한 과실주를 빚는 세인트하우스 와이너리의 살구와인
해미읍성 모과와인,다양한 과실주를 빚는 세인트하우스 와이너리의 모과와인
맑은술 해밀,40여년 전통주를 빚어온 술도가에서 선보이는 프리미엄 약주
레돔 내추럴 스파클링 로제와인,프랑스 농부가 한국에서 만든 자연주의 와인
레돔 시드르,프랑스 농부가 한국에서 만든 내추럴 애플 시드르
감자술 13%,강원도 감자바우로 빚은 평창 감자술
서주 16%,강원도 감자바우로 빚은 평창 감자술의 프리미엄 제품
추시와인,감의 고장 논산 양촌의 감으로 빚은 감와인
원조 한산소곡주,천오백년의 맛과 향이 백일의 정성에 담기다
석탄주 약주,맛과 향이 너무 좋아 차마 삼키기가 안타까운 술
원조 소곡화주,불소곡주라고도 불리는 한산소곡주 증류주
방문주 탁주,"술 빚는 방법대로 빚은 술, 방문주"
크라테 레드와인 스위트,해발 1317m 청정지역 산머루와 포도로 빚은 와인
방문주 약주,"술 빚는 방법대로 빚은 술, 방문주"
크라테 레드와인 드라이,해발 1317m 청정지역 산머루와 포도로 빚은 와인
크라테 로제와인,해발 1317m 청정지역 산머루와 포도로 빚은 와인
선운산 복분자주,2018년 대한민국 우리술품평회 과실주 부문 우수상 수상
선운산 복분자와인,24년간 복분자주 생산으로 축적된 발효숙성공법으로 빚은 술
선운산 복분자주 프리미엄,24년간 복분자주 생산으로 축적된 발효숙성공법으로 빚은 술
샹스프랑보아즈,24년간 복분자주 생산으로 축적된 발효숙성공법으로 빚은 정통 복분자와인
산정호수 동정춘막걸리,2018 대한민국 우리술품평회 탁주 부문 대상 수상
허니문와인,대한민국 최초로 상용화에 성공한 벌꿀 발효주
배꽃담은 연 생막걸리,2018 대한민국 우리술품평회 탁주 부문 우수상 수상
석탄주 탁주,맛과 향이 너무 좋아 차마 삼키기가 안타까운 술
천비향 오양주 약주,전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 약주
천비향 오양주 탁주,전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 막걸리
청진주,"쌀과 누룩, 그리고 물만으로 빚은 진주처럼 귀한 술"
아황주,고려시대 궁중에서 전해온 천년의 역사를 간직한 술
미인탁주,자연 그대로를 담아 빚어 낸 맛이 조화로운 막걸리
미인약주,자연 그대로를 담아 빚어 낸 맛이 조화로운 약주
삼양춘 생탁주,2018년 대한민국 주류대상 탁주부문 대상 수상
삼양춘 생약주,2018년 대한민국 주류대상 약주 부문 BEST OF BEST 수상
술그리다 생탁주,전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 막걸리
술예쁘다 생탁주,전통방식 그대로 쌀과 누룩으로만 빚은 프리미엄 막걸리
김포별주,금처럼 값진 술을 담다 전하다
김포 막걸리,김포 금쌀로 빚은 오랜 친구처럼 정겨운 막걸리
김포약주 유리병,금처럼 값진 술을 담다 전하다
김포약주 PET,금처럼 값진 술을 담다 전하다
천비향 화주,천비향 약주를 상압식 증류하여 만든 최상급 증류주
김포예주 프리미엄,금처럼 값진 술을 담다 전하다
백자주,강원도 홍천의 명품 잣이 듬뿍 들어간 프리미엄 탁주
석로주,석이버섯을 활용한 전통 수제 발효주
호모루덴스,홍천의 산속 계곡 양조장에서 빚은 드라이한 고급 탁주
동정춘,지난해 마셨던 동정춘의 향내가 아직도 손에서 난다
녹파주,
한주,로주두말빚이로 빚은 조선시대 명주
안성마춤 생막걸리,엄선된 안성마춤 햅쌀로 빚은 막걸리
선호 생막걸리,80여년 이어온 탁주의 명가에서 빚다
