,제품명,주종,도수,용량,가격,원재료,제조사
0,가덕순쌀막걸리,탁주,6%,750ml,13500750ml*9병,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",농업회사법인명세주가(주)
1,가을빛레드와인,과실주,14%,750ml,35000,포도(캠벨얼리),예인화원
2,가평잣막걸리,탁주,6%,750ml,1450,"쌀,정제수,쌀입국,잣,효모,정제효소등",가평우리술
3,감보드카,일반증류주,32%,375ml,14000,감(국내산)100%,양촌감영농조합법인
4,감그린레귤러,과실주,12%,750ml,18000,감(국내산),청도감와인(주)
5,감그린스페셜,과실주,12%,750ml,25000,감(국내산),청도감와인(주)
6,감그린아이스와인,과실주,10%,375ml,89000,감(국내산),청도감와인(주)
7,감사,약주,14%,375ml,15000,"쌀(국내산경기미100%),누룩,정제수",술샘
8,감아락25도_500ml,일반증류주,25%,500ml,26000,"감증류원액,쌀(국내산)",(주)배상면주가
9,감악산머루주,과실주,12%,360ml,360ml*4본28000,"국내산산머루원액78.5%,주정",산머루농원영농조합법인
10,감이슬,일반증류주,23%,375ml,10000,감(국내산)100%,양촌감영농조합법인
11,감자술13%,약주,13%,700ml,14000,"백미(국내산),감자(국내산),누룩,효모,정제수",오대서주양조
12,감홍로백자_700ml,일반증류주,40%,700ml,75000,"쌀(70%),조(30%),7가지약재(용안육,계피,진피,정향,생강,감초,지초)",농업회사법인(주)감홍로
13,감홍로청자_700ml,일반증류주,40%,700ml,90000,"쌀(70%),조(30%),8가지약재(용안육,계피,진피,방품,정향,생각,감초,지초)",농업회사법인(주)감홍로
14,강소주,일반증류주,50%,"200ml/1,800ml",110001800ml,"국내산쌀,정제수",내국양조
15,강쇠_370ml,살균약주,13%,370ml,2500,"쌀,누룩,오가피",농업회사법인(유)술소리
16,걍즐겨,탁주,8%,600ml,6000,"찹쌀(국내산),멥살(국내산),누룩,석류,히비스커스,정제수",디오케이브루어리
17,겨울소주25,증류식소주,25%,360ml,10000,"증류원액(국내산쌀),효모,효소,정제수",두이술공방
18,경기전,기타주류,5%,1000ml,270001000ml*3병,"보리(국내산),맥아(국내산),호프펠렛,효모,정제효소제,정제수",농업회사법인동문거리양조장(주)(전주술로시티)
19,계룡백일주12년_600ml,리큐르,40%,600ml,150000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
20,계룡백일주16도_700ml*2,약주,16%,700ml*2개,37000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
21,계룡백일주30도_400ml*2,리큐르,30%,400ml*2개,40000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
22,계룡백일주40도_600ml*2,리큐르,40%,600ml*2개,80000,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",계룡백일주
23,계룡산산삼주금수강산21%,일반증류주,21%,740ml,110000,"산양산삼,정제주,주정",농업회사법인한국산삼(주)
24,계룡산산삼주금수강산40%,일반증류주,40%,740ml,150000,"산양산삼,정제주,주정",농업회사법인한국산삼(주)
25,고구마아락_500ml,증류식소주,40%,500ml,25000,"보리,고구마,정제수",농업회사법인배상면주가고창LB
26,고도리레드와인스위트,과실주,12%,750ml,22000,MBA머루포도(경북영천),고도리와이너리
27,고도리복숭아와인,과실주,6.5%,750ml,32000,복숭아(경북영천),고도리와이너리
28,고도리화이트와인드라이,과실주,10.5%,750ml,22000,거봉포도(경북영천),고도리와이너리
29,고도리화이트와인스위트,과실주,10.5%,750ml,22000,거봉포도(경북영천),고도리와이너리
30,고소리술,소주,40%,375ml,25000,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",제주샘영농조합법인
31,고소리술,소주,40%,700ml,45000,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",제주샘영농조합법인
32,고운달백자,일반증류주,52%,500ml/200ml,360000500ml180000200ml,오미자(문경산),농업회사법인(주)제이엘
33,고운달오크,일반증류주,52%,500ml/200ml,360000500ml180000200ml,오미자(문경산),농업회사법인(주)제이엘
34,고창복분자주300,과실주,13%,300ml,50000300ml*20병,"복분자과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
35,고창선운산땡큐블루베리주,과실주,13%,300ml,60000300ml*20병,"블루베리과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
36,고창복분자주1800,과실주,15%,"1,800ml",27000,"복분자과실,주정,효모,구연산,정제수",농업회사법인고창선운산(유)
37,공주애오디와인,과실주,15%,375ml,6000,"국내산오디,정제수,주정,과당,효모",농업회사법인사곡양조원
38,구기홍주14,약주,14%,360ml/750ml,360ml10000750ml16000,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",두이술공방
39,구름을벗삼아,탁주,6%,750ml,1500,"정제수,찹쌀·백미(국내산햅쌀100%),입국등",문경주조
40,귀감,일반증류주,25%,350ml,25000,"감귤과즙(제주산),백설탕,액상효모,스테비올배당체,무수아황산",농업회사법인(주)시트러스
41,그랑꼬또M56,과실주,12%,750ml,21000,포도(캠벨얼리),그린영농조합법인
42,그랑꼬또M5610,과실주,10%,750ml,56000,포도(캠벨얼리),그린영농조합법인
43,그랑꼬또레드와인,과실주,12%,750ml,35000,포도(캠벨얼리),그린영농조합법인
44,그랑꼬또로제와인,과실주,12%,750ml,21000,포도(캠벨얼리),그린영농조합법인
45,그랑꼬또청수_750ml,과실주,12%,750ml,60000,포도(청수),그린영농조합법인
46,그랑꼬또화이트와인,과실주,12%,750ml,40000,포도(캠벨얼리),그린영농조합법인
47,그랑티그르S1974_375ml,과실주,12%,750ml,40000,포도(캠벨얼리100%),월류원
48,그랑티그르CE2002,과실주,12%,750ml,40000,포도(캠벨얼리100%),월류원(오드린)
49,그랑티그르M1988,과실주,12%,750ml,40000,"포도(캠벨얼리),오미자",월류원(오드린)
50,금산인삼주_375ml,약주,12.5%,375ml,12000375ml*3병,"쌀,인삼,누룩,정제수등",농업회사법인(주)금산인삼주
51,수삼단본23도_720ml,일반증류주,23%,720ml,32000,"쌀,인삼,누룩,정제수등",농업회사법인(주)금산인삼주
52,수삼단본43도_720ml,일반증류주,43%,720ml,42000,"쌀,인삼,누룩,정제수등",농업회사법인(주)금산인삼주
53,금정산성막걸리_750ml,탁주,8%,750ml,19000750ml*10병,"백미,밀누룩,정제수,아스파탐",(유)금정산성토산주
54,기다림16,탁주,9%,750ml,11000,"찹쌀(국내산),흑미(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
55,기다림25,탁주,8%,750ml,9900,"백미(국내산),찹쌀(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
56,기다림34,탁주,12%,500ml,15000,"멥쌀(국내산),찹쌀(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
57,기다림맑은술,약주,15%,500ml,25000,"멥쌀(국내산),찹쌀(국내산),곡자(밀누룩국내산),정제수",농업회사법인(주)제이케이크래프트
58,김천과하주16도_700ml,약주,16%,700ml,20000,"찹쌀,누룩,샘물,황국잎",김천과하주
59,김천과하주23도_700ml,기타주류,23%,700ml,22000,"멥쌀,누룩,샘물,황국잎",김천과하주
60,김포막걸리,탁주,6%,750ml,1200,"쌀,누룩,정제수",김포양조
61,김포별주,살균약주,13%,500ml,4000,"쌀,옥수수전분,국,효모,젖산,효소제,정제수",김포양조
62,김포약주PET,살균약주,11%,750ml,9000,"옥수수전분,밀,국,효모,젖산,효소제,정제수",김포양조
63,김포약주유리병,살균약주,11%,750ml,10000,"옥수수전분,밀,국,효모,젖산,효소제,정제수",김포양조
64,김포예주프리미엄,살균약주,13%,750ml,15000,"국내산쌀,국,효모,젖산,정제수",김포양조
65,김포특주,약주,15%,375ml,3000,"국내산쌀,효모,정제효소,정제수,프락토올리고당",김포금쌀탁주영농조합법인
66,까메오막걸리,살균탁주,6%,550ml,5000,"정제수(지장수),쌀,효모,누룩,과당등",낙천
67,나루생막걸리11.5%,탁주,11.5%,500ml,11000,"쌀(국내산),국,효모,정제수",한강주조
68,나루생막걸리6%,탁주,6%,935ml,7000,"쌀(국내산),국,효모,정제수",한강주조
69,남산애레드와인,과실주,14%,750ml,45000,"포도(캠벨얼리,MBA,산머루)",예인화원
70,남산애포트와인,과실주,18.5%,750ml,55000,"포도(캠벨얼리,MBA,산머루)",예인화원
71,내장산복분자주지통1호,과실주,16%,700ml,18000,"복분자,주정,정제수,설탕등",내장산복분자영농조합
72,녹고의눈물_700ml,기타주류,16%,500ml,23000,섬오가피,농업회사법인(주)토향
73,소곡화주_480ml,리큐르,41%,480ml,45000,"찹쌀,누룩,백미,정제수",녹천주조장
74,소곡화주_500ml,리큐르,41%,500ml,22000,"찹쌀,누룩,백미,정제수",녹천주조장
75,녹파주,약주,15%,375ml,35000,"국내산찹쌀,멥쌀,누룩,정제수",농업회사법인(주)솔송주
76,뉴트로,탁주,8%,600ml,6000,"찹쌀(국내산),멥살(국내산),누룩,레몬,라임,잉글리쉬블랙퍼스트,정제수",디오케이브루어리
77,느낌19.8,증류식소주,19.8%,360ml,4000,"백미(국내산),누룩,효모,정제수",농업회사법인명품안동소주(주)
78,느낌30,증류식소주,30%,360ml,6500,"백미(국내산),누룩,효모,정제수",농업회사법인명품안동소주(주)
79,느린마을막걸리,탁주,6%,750ml,2300,"쌀,국,효모,정제수",배상면주가
80,능이주,살균약주,13%,375ml,12000,"국내산쌀,능이농충액,누룩,정제수",내국양조
81,니모메,약주,11%,375ml,36000375ml*3병,"쌀(국내산),감귤진피,정제수",제주샘영농조합법인
82,다래와인3004_375ml,과실주,8%,375ml,10000,참다래,영농조합법인오름주가
83,다래와인7004D_750ml,과실주,12%,750ml,28000,참다래,영농조합법인오름주가
84,다래와인7004S_750ml,과실주,8%,750ml,18000,참다래,영농조합법인오름주가
85,다랭이팜생막걸리(백미),탁주,6%,750ml,4000,"쌀,7분도유기농현미,누룩,효모등",다랭이팜
86,다랭이팜생막걸리(흑미),탁주,6%,750ml,4000,"남해산유기농현미,누룩,효모등",다랭이팜
87,다랭이팜유자막걸리,탁주,6%,750ml,4000,"남해산유기농유자원액,누룩,효모등",다랭이팜
88,담솔40%,리큐르,40%,500ml,22000,"정제수,국내산쌀,국내산송순농축액(송순33%,정제수67%)5.24%,누룩,조제종국,효모",명가원영농조합법인
89,담양죽력고,일반증류주,25%,350ml,13000,"정제수,쌀(국내산),누룩,죽력,계피,석창포,생강,효모",추성고을
90,담은,생막걸리,6%,750ml,15000,"쌀(국내산),입국,효모,고과당,정제효소제,정제수",(주)1932포천일동막걸리
91,당당하리,과실주,15%,375ml,16000선물세트3입,"쌀(국산),홍마늘(국산),감초(국산),개량누룩(국산),효모,정제효소제,정제수,복분자(국산),설탕,올리고당,DL-사과산,구연산,무수아황산,이산화항,밀함유",농업회사법인(주)세찬제조사
92,대관령복분자주_400ml,과실주,16%,400ml,13000,국내산복분자,농업회사법인(주)홍지원
93,대대포생막걸리,탁주,6%,750ml,3500,"백미(국내산,무기농무농약),벌꿀(국내산),정제수",농업회사법인(주)죽향도가
94,대윤가야곡왕주_300ml,약주,13%,300ml,4000,"쌀,누룩,효모,물엿,정제수",농업회사법인대윤가야곡주조(주)
95,대잎생동동주,탁주,6%,1700ml,2500,"쌀(국내산),좁쌀,정제효소,젖산,효모,아스파탐,영지,생각,정제수",농업회사법인(주)죽향도가
96,대작생막걸리,탁주,6%,750ml,2000,"쌀(국내산),조제종국효모,정제효소,올리고당,스테비텐후레쉬(천영감미료),정제수",대작영농조합법인
97,대통대잎술십오야,약주,15%,700ml,16000,"쌀,누룩,갈근,구기자,솔잎,진피등",추성고을
98,도구막걸리,탁주,6%,750ml,15000750ml*9병,"밀(외국산),쌀(국내산,외국산),물엿,효모,조제종국,정제효소제,아스파탐,젖산",동해명주
99,도깨비술11%,탁주,11%,750ml,12000,"멥쌀(국내산),누룩,효모,정제수",농업회사법인(주)도깨비양조장
100,도깨비술7%,탁주,7%,750ml,8000,"멥쌀(국내산),누룩,효모,정제수",농업회사법인(주)도깨비양조장
101,도깨비술9%,탁주,9%,750ml,10000,"멥쌀(국내산),누룩,효모,정제수",농업회사법인(주)도깨비양조장
102,도로시머루주,과실주,12%,500ml,25000,"국내산산머루원액78.5%,주정",산머루농원영농조합법인
103,도문대작생막걸리,탁주,10%,750ml,3000,"강릉쌀,누룩,갯방풍나물,정제수",방풍도가
104,독산53,증류식소주,53%,250ml,25000,"쌀(국내산),국,효모,정제수",농업회사법인오산양조(주)
105,동강더덕주_360ml,리큐르,20%,360ml,3500,"더덕,대추구기자,감초,원지",영월더덕영농조합법인
106,동몽,약주,17%,500ml,30000,"홍천쌀,정제수,단호박,국(밀누룩)",예술
107,동정춘,탁주,8%,500ml,18000,"쌀,누국,정제수",농업회사법인(주)산수
108,동학1957,청주,13%,375ml/700ml,375ml3500700ml7200,"쌀(국내산),구연산,효모,젖산,정제효소제,국,주정,정제수",고헌정영농조합법인
109,동해동동주,탁주,6%,750ml,15000750ml*9병,"쌀(국내산,외국산),물엿,효모,조제종국,정제효소제,아스파탐,젖산",동해명주
110,두레앙22,일반증류주,22%,375ml,5000,거봉포도원액,농업회사법인(주)두레양조
111,두레앙브랜디_750ml,브랜디,35%,750ml,70000,거봉포도원액,농업회사법인(주)두레양조
112,두레앙와인_750ml,과실주,12%,750ml,15000,거봉포도원액,농업회사법인(주)두레양조
113,두레앙증류주_750ml,일반증류주,35%,750ml,35000,거봉포도원액,농업회사법인(주)두레양조
114,두리향,증류식소주,43%,500ml,36000,"국내산찹쌀,누룩,정제수",케이소주(전주가양주연구소)
115,두유노,탁주,6%,600ml,6000,"찹쌀(국내산),멥살(국내산),누룩,밀가루",디오케이브루어리
116,라이스퐁당13,약주,13%,500ml,15000,"찹쌀(국내산),누룩,정제수(음양곽,감초)",농업회사법인(주)벗드림
117,라이스퐁당17,약주,17%,500ml,18000,"찹쌀(국내산),누룩,정제수(음양곽,감초)",농업회사법인(주)벗드림
118,레돔내추럴스파클링로제와인,과실주,7.5%,750ml,38000,포도(99.99%),농업회사법인작은알자스
119,레돔시드르,과실주,6%,750ml,32000,사과(100%),농업회사법인작은알자스
120,려(驪)고구마증류소주25도,증류식소주,25%,500ml,백화점35000원,고구마(여주산100%),(농)국순당여주명주(주)
121,려(驪)고구마증류소주40도,증류식소주,40%,500ml,백화점35000원,고구마(여주산100%),(농)국순당여주명주(주)
122,려(驪)증류소주25도,증류식소주,25%,375ml/500ml,30000,"고구마(여주산100%),쌀(여주산100%)",(농)국순당여주명주(주)
123,로얄안동소주18년_600ml,증류식소주,45%,600ml,72000,"국내산쌀,입국",농업회사법인유토피아(주)
124,르깔롱,리큐르,16%,500ml,35000,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라",추성고을
125,마셔블랑,일반증류주,12%,750ml,20000,"감귤과즙(한라봉),백설탕,액상효모,무수아황산",농업회사법인(주)시트러스
126,마주소곡주,약주,16%,500ml,17000,"찹쌀(국내산),백미(국내산),모싯잎,우리밀누룩,정제수,효모",옥순가소곡주마주
127,마주소화곡주,일반증류주,41%,500ml,25000,"찹쌀(국내산),백미(국내산),모싯잎,우리밀누룩,정제수,홍고추",옥순가소곡주마주
128,막시모40,일반증류주,40%,500ml,49000,"오미자(국내산)증류원액,오미자(국내산)원액,정제수",농업회사법인(주)착한농부
129,만강에비친달,탁주,10%,500ml,12000,"홍천쌀,정제수,단호박,곡자(밀누룩)",예술
130,맑은문희주,약주,13%,750ml,36000,"유기농찹쌀(국산),멥쌀(국산),전통누룩(우리밀),정제수",문경주조
131,맑은내일Winery단감명작,과실주,7%,750ml,20000,"단감(국내산_창녕),정제수,설탕,효소제,무수구연산,효모,무수아황산(산아방지제),소브산(보존료)",농업회사법인우포의아침주식회사
132,맑은내일발효막걸리,탁주,7%,"750ml/1,000ml",750ml22001000ml6500,"쌀(국내산),누룩,효소,아스파탐,정제수",농업회사법인우포의아침(주)
133,맑은내일우포,살균약주,12%,325ml/500ml,325ml5000500ml7000,"쌀(국내산),옥수수전분,효모,누룩,양파,정제수",농업회사법인우포의아침(주)
134,맑은술해밀,약주,15%,500ml,25000,"쌀,누룩,정제수",내변산양조장
135,매실막걸리_750ml,살균탁주,7%,750ml,3500,"쌀,매실과즙",농업회사법인(주)백운주가
136,매실원주15도_300ml,리큐르,15%,300ml,6000,"매실주원액,발효주정,정제수,꿀",더한주류
137,매실향기담은술,약주,14%,500ml,6000,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",농업회사법인명세주가(주)
138,머루이야기_375ml,과실주,12%,375ml,6000,국내산산머루,농업회사법인산들벗(주)
139,머르드서드라이,과실주,13.5%,750ml,35000,국내산산머루100%,산머루농원영농조합법인
140,머르드서스위트,과실주,12%,750ml,30000,국내산산머루100%,산머루농원영농조합법인
141,메로니아,기타주류,4%,750ml,2000,"쌀,국,효모,젖산,멜론향,물엿등",배혜정도가
142,메밀로,일반증류주,45%,500ml,150000,"국내산쌀,메밀,누룩,정제수",농업회사법인두루(주)
143,면천두견주360ml,약주,18%,360ml,32000360ml*4병,"국내산찹쌀,누룩,진달래꽃",(주)면천두견주
144,면천두견주700ml,약주,18%,700ml,30000700ml*2병,"국내산찹쌀,누룩,진달래꽃",(주)면천두견주
145,면천두견주900ml,약주,18%,900ml,120000900ml*2병,"국내산찹쌀,누룩,진달래꽃",(주)면천두견주
146,명술_375ml,리큐르,20%,375ml,30000,"산양산삼,정제주,주정",대농바이오우리산삼
147,안동소주22도_360ml,증류식소주,22%,360ml,27000360ml*6병,"쌀(국내산),누룩,정제수",명인안동소주
148,안동소주양반탈_800ml,증류식소주,45%,800ml,35000,"쌀(국내산),누룩,정제수",명인안동소주
149,안동소주호리병_800ml,증류식소주,45%,800ml,30000,"쌀(국내산),누룩,정제수",명인안동소주
150,명인홍삼주_375ml,약주,12.5%,375ml,12000375ml*3병,"쌀,홍삼,누룩,정제수등",농업회사법인(주)금산인삼주
151,명작복분자_375ml,과실주,13%,375ml,78000375ml*12병,"복분자,효모,주정,정제수,과당,구연산",(농)국순당고창명주(주)
152,명품진도홍주_375ml,일반증류주,38%,375ml,20000,"쌀,보리,누룩,지초,정제수",대대로영농조합법인
153,모월로,증류식소주,25%,500ml,25000,"쌀(국내산),누룩,정제수",협동조합주담
154,모월연,약주,13%,500ml,18000,"쌀(국내산),누룩,정제수",협동조합주담
155,모월인,증류식소주,41%,500ml,40000,"쌀(국내산),누룩,정제수",협동조합주담
156,모월청,약주,16%,500ml,21000,"쌀(국내산),누룩,정제수",협동조합주담
157,모을동주소주,증류식소주,43%,350ml,15000,"쌀(국내산),조제종국효모,정제효소,정제수",대작영농조합법인
158,모을동주약주,약주,13%,375ml,13000,"쌀(국내산),조제종국효모,정제효소,정제수",대작영농조합법인
159,무주구천동머루와인_750ml,과실주,12%,750ml,25000,국내산산머루,덕유양조
160,무주구천동산머루주_750ml,과실주,16%,750ml,15000,국내산산머루,덕유양조
161,문경바람백자25%,일반증류주,25%,750ml/375ml,30000750ml16000375ml,사과(문경산),농업회사법인(주)제이엘
162,문경바람백자40%,일반증류주,40%,750ml/375ml,40000750ml24000375ml,사과(문경산),농업회사법인(주)제이엘
163,문경바람오크,일반증류주,40%,750ml/375ml,44000750ml28000375ml,사과(문경산),농업회사법인(주)제이엘
164,문배술헤리티지23도_375ml,증류식소주,23%,375ml,50000375ml*9병,"메조,찰수수,쌀",문배주양조원
165,문배술헤리티지25_375ml,증류식소주,25%,375ml,55000375ml*9병,"메조,찰수수,쌀",문배주양조원
166,문배술헤리티지40도_200ml,증류식소주,40%,200ml,48000200ml*4병,"메조,찰수수,쌀",문배주양조원
167,문희'문경오미자수제전통주',전통수제탁주,12%,"700ml,500ml",21000/18000,"햇찹쌀100%(국내산),전통누룩,오미자(문경동로산)",문경주조(전통술체험관)
168,문희'햇찹쌀수제전통주',전통수제탁주,13%,500ml,15000,"유기농찹쌀(국산),멥쌀(국산),전통누룩(우리밀),정제수",문경주조
169,문희'햇찹쌀수제전통주',전통수제탁주,13%,700ml,18000,"유기농찹쌀(국산),멥쌀(국산),전통누룩(우리밀),정제수",문경주조
170,미르25,증류식소주,25%,375ml,18000,"쌀(국내산경기미100%),누룩,정제수",술샘
171,미르40,증류식소주,40%,375ml,23000,"쌀(국내산경기미100%),누룩,정제수",술샘
172,미생막걸리,탁주,6%,750ml,1100,"국내산쌀,누룩,효모,정제효소,정제수",김포금쌀탁주영농조합법인
173,미소생막걸리,탁주,7%,750ml,1500,"쌀(국내산),누룩,정제수",울진술도가
174,미소아이스,과실주,12%,375ml,40000,"포도,산화방지제,효모등",도란원
175,미인약주,약주,15%,500ml,25000,"찹쌀,누룩,정제수",최행숙전통주가
176,미인탁주,탁주,10%,500ml,15000,"찹쌀,누룩,정제수",최행숙전통주가
177,민속주안동소주_400ml,증류식소주,45%,400ml,28000,"쌀(국내산),누룩,정제수",민속주안동소주
178,민속주안동소주_600ml,증류식소주,45%,600ml,28000,"쌀(국내산),누룩,정제수",민속주안동소주
179,민속주안동소주_800ml,증류식소주,45%,800ml,33500,"쌀(국내산),누룩,정제수",민속주안동소주
180,바나나주,기타주류,4%,750ml,1700,"쌀,국,정제수,바나나농축액,조제종국,효모,물엿등",조은술세종
181,바랑탁,탁주,15%,375ml,18000,"찹쌀(국내산),맵쌀(국내산),누룩,소맥분,정제수",농업회사법인(주)금계당
182,밤꽃향기,약주,13.5%,375ml,4000,"국내산쌀,밤,누룩,정제수",농업회사법인사곡양조원
183,방문주약주,약주,15%,500ml,7000,"국내산찹쌀,누룩,정제수",케이소주(전주가양주연구소)
184,방문주탁주,탁주,15%,500ml,6000,"국내산찹쌀,누룩,정제수",케이소주(전주가양주연구소)
185,배꽃담은연생막걸리,탁주,10%,720ml,20000,"국내산쌀,누룩,효모,젖산,연잎,정제수",(주)농업회사법인술빚는전가네
186,배도가로아19레드,일반증류주,19%,350ml,10000,사과(국내산),주식회사배혜정농업회사법인
187,배도가로아40도옐로우_350ml,일반증류주,40%,350ml,20000,"쌀(국산),배(국산)",배혜정도가
188,백년향,탁주,10%,500ml,33000500ml*3병,"국내산쌀,누룩,정제수",(주)농업회사법인추연당
189,백련맑은술,약주,12%,375ml,7000,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",신평양조장
190,백련생막걸리Misty,탁주,7%,750ml,3000,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",신평양조장
191,백련생막걸리snow,탁주,6%,750ml,1600,"백미,연잎,정제수,종국,효모,아스파탐,물엿등",신평양조장
192,백운복분자와인_300ml,기타주류,11%,360ml,7000,"쌀,토종복분자과즙",농업회사법인(주)백운주가
193,백운복분자주_360ml,기타주류,13%,360ml,7000,"쌀,토종복분자과즙",농업회사법인(주)백운주가
194,백이주,과실주,35%,800ml,30000,"쌀(국산),홍마늘액(국산),감초(국산),개량누룩(국산),효모,정제효소제,정제수,밀함유",농업회사법인(주)세찬제조사
195,백자주,탁주,10%,500ml,18000,"국내산찹쌀,멥쌀,잣,누룩,정제수",농업회사법인(주)산수
196,뱅꼬레레드_375ml,과실주,12%,375ml,25000,양조용포도(경북영천),(주)한국와인
197,뱅꼬레로제_375ml,과실주,11.5%,375ml,23000,양조용포도(경북영천),(주)한국와인
198,뱅꼬레아이스_375ml,과실주,12%,375ml,90000,양조용포도(경북영천),(주)한국와인
199,뱅꼬레화이트_375ml,과실주,11%,375ml,23000,양조용포도(경북영천),(주)한국와인
200,베베마루캠벨로제_375ml,과실주,12%,375ml,20000,포도(캠벨얼리100%),월류원
201,베베마루캠벨로제스위트_375ml,과실주,10%,375ml,20000,포도(캠벨얼리100%),월류원
202,별바랑,약주,17.5%,375ml,27000,"찹쌀(국내산),맵쌀(국내산),누룩(1%),정제수",농업회사법인(주)금계당
203,병영설성동동주,탁주,6%,1700ml,2500,"쌀(국내산),전분,효모,누룩,정제수",병영양조장
204,병영설성생막걸리,탁주,6%,750ml,3500,"쌀(국내산),효모,누룩,정제수",병영양조장
205,병영설성사또,일반증류주,40%,700ml,40000,"쌀(국내산),효모,누룩,정제수",병영양조장
206,병영소주,증류식소주,40%,700ml,59400,"정제수,보리증류식소주원액(보리:국내산)",병영주조장
207,복분자아락_500ml,일반증류주,40%,500ml,40000,"복분자증류원액(국내산),정제수",농업회사법인배상면주가고창LB
208,복분자음_375ml,과실주,12%,375ml,6000,"복분자(국내산),정제수",농업회사법인배상면주가고창LB
209,명가원복분자술,과실주,16%,750ml,20000,"복분자37.65%,주정,정제수,구연산,호박산,정제식염,액상과당,효모,설탕",명가원영농조합법인
210,복분자주360,과실주,16%,360ml,6000,"복분자,주정,정제수,설탕등",내장산복분자영농조합
211,복순도가손막걸리,탁주,6.5%,935ml,12000,복순도가,김정식
212,복숭아와인,과실주,12%,500ml,20000,"복숭아(국내산),백설탕,효모,메타중아황산칼륨",영농조합법인금이산농원
213,볼빨간막걸리10,탁주,10%,500ml,7000,"찹쌀(국내산),누룩,정제수",농업회사법인(주)벗드림
214,볼빨간막걸리7,탁주,7%,500ml,5000,"찹쌀(국내산),누룩,정제수",농업회사법인(주)벗드림
215,봉하쌀생막걸리,탁주,6%,750ml,2000,"쌀(국내산),정제효소,젖산,효모,아스파탐,정제수",농업회사법인(주)죽향도가
216,부안참뽕막걸리_950ml,살균탁주,6%,950ml,2000,"쌀(국내산),오디,종국,정제수,누룩,효모,아스파탐",내변산(동진주조)
217,부안참뽕와인_750ml,과실주,13%,750ml,18000,"오디(국내산),정제수,주정",내변산(동진주조)
218,부자10,살균탁주,10%,375ml,5000,"쌀,정제수,고과당,효모등",배혜정도가
219,불소곡주_700ml,리큐르,43%,700ml,30000,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",한산소곡주
220,붉은원숭이,살균탁주,10.8%,375ml,7000,"쌀(국내산경기미100%),누룩,홍국,정제수",술샘
221,블루베리이야기_375ml,과실주,12%,375ml,6000,"국내산산머루50%,블루베리50%",농업회사법인산들벗(주)
222,사과와인,과실주,12%,500ml,20000,"사과(국내산),백설탕,효모,메타중아황산칼륨",영농조합법인금이산농원
223,산내울복분자주,리큐르,16%,750ml,20000,"복분자,설탕,주정,정제수,과당",거창사과원예농협
224,산내울사과애주,리큐르,16%,750ml,14000,"사과,설탕,주정,정제수,과당",거창사과원예농협
225,산내울오미자주,리큐르,16%,750ml,20000,"오미자,설탕,주정,정제수,과당",거창사과원예농협
226,산막생유막걸리_750ml,탁주,6%,750ml,1200,"국내산쌀,소맥분,종국,효모",농업회사법인신탄진주조(주)
227,산막대덕주_600ml,약주,13%,600ml,20000,"국내산쌀,우리밀누룩",농업회사법인신탄진주조(주)
228,산정호수동정춘막걸리,탁주,6%,720ml,20000,"국내산쌀,누룩,정제수",(주)농업회사법인술빚는전가네
229,삼선,탁주,10%,500ml,15000,"국내산쌀,누룩,정제수",농업회사법인두루(주)
230,삼양춘생약주,약주,15%,500ml,20000,"강화섬쌀,전통누룩,정제수",송도향전통주조
231,삼양춘생탁주,탁주,12.5%,500ml,12000,"강화섬쌀,전통누룩,정제수",송도향전통주조
232,삼양춘청주,청주,15%,500ml,16800,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모",송도향전통주조
233,생청주막걸리,탁주,6%,750ml,1500,"쌀,소맥분,국,조제종국,효모,물엿등",조은술세종
234,샤토미소랑,과실주,12%,375ml,20000,청포도,도란원
235,샤토미소레드프리미엄드라이,과실주,13%,750ml,40000,"포도(MBA,산머루,캠벨얼리)",도란원
236,샤토미소스위트로제,과실주,12%,375ml,20000,"포도,산화방지제,효모,설탕등",도란원
237,샤토미소스위트,과실주,12%,750ml,20000,"포도,산화방지제,효모,설탕등",도란원
238,샤토미소영동,일반증류주,40%,200ml,30000,포도,도란원
