,제품명,주종,도수,용량,가격,원재료,제조사
320,연천우주,일반증류주,22%,360ml,8500,"쌀(국내산),누룩,효모,효소,연천율무,정제수",농업회사법인연천양조(주)
321,영일만친구막걸리,탁주,6%,750ml,15000750ml*9병,"국내산쌀,물엿,우뭇가사리,효모,조제종국,정제효소제,아스파탐,젖산",동해명주
322,예담은한산소곡주_750ml,약주,16%,750ml,12000,"찹쌀,멥쌀,누룩,대두,구절초",한산예담은소곡주
323,예담은한산소곡화주_500ml,일반증류주,41%,500ml,30000,"찹쌀,멥쌀,누룩,대두,구절초",한산예담은소곡주
324,예밀와인레드드라이,과실주,13%,750ml,20000,포도(캠벨얼리),예밀2리영농조합법인
325,예밀와인레드스위트,과실주,12%,750ml,20000,포도(캠벨얼리),예밀2리영농조합법인
326,예밀와인로제,과실주,12%,750ml,20000,포도(캠벨얼리),예밀2리영농조합법인
327,예주_750ml,과실주,15%,750ml,29000,"복분자,주정,효모,정제수",용두산조은술
328,예천주사월24,일반증류주,24%,375ml,22000,"오미자(국내산)증류원액,건오미자(국내산)추출액,정제수",농업회사법인(주)착한농부
329,예천주사월365,일반증류주,36.5%,375ml,29000,"오미자(국내산)증류원액,건오미자(국내산)추출액,정제수",농업회사법인(주)착한농부
330,예천주복만월24,일반증류주,24%,350ml,12800,"복분자(국내산)증류원액,복분자(국내산)과즙,정제수",농업회사법인(주)착한농부
331,예천주복만월40,일반증류주,40%,350ml,19200,"복분자(국내산)증류원액,복분자(국내산)과즙,정제수",농업회사법인(주)착한농부
332,예화_750ml,약주,13%,750ml,10000,"쌀,누룩,효모,물엿,정제수",농업회사법인대윤가야곡주조(주)
333,옛날막걸리古,탁주,7.8%,750ml,2700원※,"배정제수,쌀(국산),국(밀),과당,효모/에탄올함량:7.8%",국순당
334,오가피와인,과실주,12%,500ml,20000,"오가피열매(국내산),백설탕,효모,메타중아황산칼륨",영농조합법인금이산농원
335,오곡진상주,탁주,7%,750ml,-,"쌀,밀,보리,옥수수,조등",대강양조장
336,오디랑,과실주,13%,330ml,4000,"오디(국산)18.2%,정제수,과당,주정,구연산,효모",국순당고창명주
337,오매락퍽_500ml,리큐르,40%,500ml,52000,"구운매실,배증류원액",(주)배상면주가
338,오매백주,탁주,12%,500ml,5000,"쌀(국내산),국,효모,정제수",농업회사법인오산양조(주)
339,오메기맑은술,약주,16%,500ml,25000,"좁쌀,햅쌀,정제수,누룩",제주술익는집
340,오메기술,약주,13%,375ml,13000,"쌀,차조,입국,누룩,효모,효소,청호,조릿대,감초,정제수",제주샘영농조합법인
341,오목대,기타주류,5%,1000ml,270001000ml*3병,"보리(국내산),맥아(국내산),말토텍스트린,호프펠렛,효모,정제효소제,정제수",농업회사법인동문거리양조장(주)(전주술로시티)
342,오미로제프리미어와인,과실주,12%,750ml,39000,오미자(문경산),농업회사법인(주)제이엘
343,오미시앙스페셜,과실주,12%,500ml,10000,"오미자,주정,설탕,효모",알에프
344,오미자생막걸리,생탁주,6.5%,750ml,2500,"정제수,백미(국내산),입국(쌀,밀),올리고당,물엿,허브(유기농),오미자2.4%(국내산,문경로동산),정제효소,아스파탐·아세셀펌칼륨(함성감미료,메닐알라닌함유)",문경주조
345,오산막걸리,탁주,6%,500ml,3000,"쌀(국내산),국,효모,정제수",농업회사법인오산양조(주)
346,오희스파클링막걸리,탁주,8.5%,500ml,36000500ml*2병,"백미,건오미자,조효소제,효모,정제수",문경주조
347,왕율주,일반증류주,25%,330ml,8000,"국내산쌀,밤,누룩,정제수",농업회사법인사곡양조원
348,왕피천을품은미소생막걸리,탁주,7%,750ml,1200,"쌀,누룩,정제수",울진술도가
349,우곡생주,탁주,10%,750ml,6500,"쌀(국내산),국,효모,정제수",배혜정도가
350,우도땅콩전통주,기타주류,6%,750ml,4000,"정제수,전분당,백미,국,땅콩분,효모,젖산등",조은술세종
351,양촌우렁이쌀손막걸리,탁주,7.5%,750ml,39000원1박스15개입,"쌀,정제수효모,정제효소,효소처리스테비아",양촌양조
352,운암1945,약주,12%,750ml,28000,"쌀(국내산),누룩,정제수",농업회사법인우포의아침주식회사
353,원매_750ml,리큐르,15%,750ml,35000,"매실원주액,매실청,꿀,카라멜,효소처리스테비아,정제수",더한주류
354,원매프리미엄_700ml,리큐르,20%,700ml,45000,"매실주원액,발효주정,정제수,꿀",더한주류
355,원조소곡화주_300ml,일반증류주,41%,300ml,14000,"찹쌀,멥쌀,누룩",원조소곡주
356,원조한산소곡주_750ml,약주,16%,750ml,12000,"찹쌀,멥쌀,누룩,대두,구절초",원조소곡주
357,월매쌀막걸리,살균탁주,6%,350ml,1200,"백미,말토올리고당,정제수",서울장수주식회사
358,유기농이도42,증류식소주,42%,750ml,42000,"유기농쌀(100%),정제수,증류원액,국,조제종국,효모등",조은술세종
359,유기농이도14,약주,14%,750ml,20000,"유기농쌀(국내산),우리밀누룩,조제종국,효모,정제수",농업회사법인조은술세종(주)
360,유자동동주,탁주,6%,750ml,1100,"쌀(국내산),소맥분(미국산),전분당,정제수,유자과즙,치자,정제효소,종국,효모,젖산,아스파탐",성포양조장
361,유자생막걸리_750ml,생탁주,5%,750ml,1800,"쌀,유자,정제수,고과당,효모등",배혜정도가
362,율무동동주,탁주,14%,750ml,14000,"쌀(국내산),누룩,효모,연천율무,정제수",농업회사법인연천양조(주)
363,은자골곶감생탁배기,탁주,6%,750ml,1500,"백미,소맥분,정제수,곶감분말,전분당,국,누룩,효소,아스파탐등",은척양조장
364,은자골생탁배기,탁주,5%,750ml,1500,"백미,소맥분,정제수,전분당,국,누룩,효소,아스파탐등",은척양조장
365,이강주2호,리큐르,25%,750ml,28000,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",전주이강주
