,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
421,단맛,단맛,신맛,청량감,g12,골디락스,맛,그래프,균형감,약함,약함,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,전진,아,",",이재욱,소믈리에,,,,,,,,
422,단맛,단맛,신맛,청량감,바디감,도구,막걸리,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,
423,단맛,단맛,신맛,청량감,바디감,해미읍,성,모과,와인,밤,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,",",NAVER,,,,
424,단맛,단맛,신맛,청량감,산내,물,복분자주,맛,그래프,약함,약함,약함,강함,강함,강함,바디감,가벼움,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,(,VER,무거움,,
425,술그리다 생탁주 맛 그래프,술,그리다,생,탁주,맛,그래프,단맛,신맛,청량감,바디감,가벼움,약함,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
426,단맛,단맛,신맛,청량감,바디감,아이싱,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,
427,단맛,단맛,신맛,청량감,바디감,자희,향,국화주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
428,국순당옛날막걸리 맛 그래프,국순당,옛날,막걸리,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
429,김포약주 맛 그래프,김포,약주,맛,그래프,단맛,신맛,약함,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
430,단맛,단맛,신맛,바디감,목넘김,감사,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,,
431,려 고구마증류소주 40% 맛 그래프,려,고구마,증류,소주,40,%,맛,그래프,향기,약,목넘김,바디감,드라이,라이트,강,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,
432,단맛,단맛,신맛,청량감,바디감,나루,생,막걸리,6,%,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,
433,단맛,단맛,신맛,바디감,목넘김,내장산,복분자주,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,,,
434,천지주가햅쌀 생막걸리 맛 그래프,천지,주가,햅쌀,생,막걸리,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,
435,문배술헤리티지25 맛 그래프,문배,술,헤리티지,25,맛,그래프,향기,약함,맛,바디감,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,
436,면천두견주 맛 그래프,면천,두견주,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
437,문경바람 백자 40% 맛 그래프,문경,바람,백자,40,%,맛,그래프,약함,향,바디감,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,
438,향,향,바디감,약함,신례,명주,맛,그래프,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명우,VER,,,,,,,,
439,단맛,단맛,신맛,청량감,시나브로,로제,와인,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,바디감,출처,:,주류,문화,컬럼니스트,&,세종,사이버,대학교,명욱,교수,VER,무거움,,,
440,단맛,단맛,신맛,청량감,바디감,구름,을,벗,삼아,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,
441,향,향,바디감,황금,보리,소주,25,맛,그래프,약함,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,,
442,레돔 내추럴 스파클링 로제와인 맛 그래프,레돔,내추럴,스파클링,로제,와인,맛,그래프,단맛,신맛,청량감,약함,약함,약함,바디감,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,
443,고은달 백자 맛 그래프,고은,달,백자,맛,그래프,약함,향,바디감,가벼움,목넘김,부드러움,강함,무거움,거침,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,,,
444,니모메 맛 그래프,니모,메,맛,그래프,단맛,신맛,약함,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
445,단맛,단맛,신맛,청량감,바디감,담은,맛,그래프,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,NAVER,,,,,,,,,,
446,청산녹수 꿀막걸리 맛 그래프,청산,녹수,꿀,막걸리,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,
447,단맛,단맛,신맛,청량감,바디감,샤토,미소,랑,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,
448,무주구천동 머루와인 맛 그래프,무주,구천동,머루,와인,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소,NAVER,,,,,,
449,면천두견주 맛 그래프,면천,두견주,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
450,명품 진도홍주 맛 그래프,명품,진도,홍주,맛,그래프,향기,약함,맛,바디감,드라이,라이트,강함,스위트,헤비,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,,,
451,호모루덴스 맛 그래프,호모,루덴스,맛,그래프,단맛,신맛,청량감,바디감,가벼움,약함,약함,약함,강함,강함,강함,무거움,출처,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,,
452,단맛,단맛,신맛,청량감,바디감,세종대왕,어주,탁주,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,
453,단맛,단맛,신맛,청량감,바디감,술,공방,9.0,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,NAVER,,,,,,,
454,백련생막걸리 Snow 맛 그래프,백련,생,막걸리,Snow,맛,그래프,단맛,신맛,청량감,바디감,낮음,낮음,낮음,무거움,높음,높음,높음,가벼움,출처,:,한국,가양주,연구소,류인수,소장,AVER,,,,,,
455,애피소드 호프 맛 그래프,애피소드,호프,맛,그래프,단맛,약함,신맛,청량감,바디감,가벼움,약함,약함,강함,강함,강함,무거움,출처,:,주류,문화,컬럼니스트,&,전통주,갤러리,부관장,명욱,NAVER,,,,,
456,단맛,단맛,신맛,청량감,바디감,행운,막걸리,맛,그래프,약함,약함,약함,가벼움,강함,강함,강함,무거움,출저,:,한국,가양주,연구소,류인수,소장,VER,,,,,,,,
