,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감
251,선운산복분자와인,,4.0,4.0,3.0,2.0,,
252,선운산복분자주,,4.0,4.0,3.0,2.0,,
253,선운산복분자주프리미엄,,4.0,3.0,3.0,2.0,,
254,선운산의아침복분자막걸리,,2.0,2.0,1.0,4.0,,
255,선호생막걸리,,2.0,3.0,3.0,3.0,,
256,설궁,2.0,2.0,,,2.0,,
257,설레온,1.0,2.0,,,3.0,,
258,설련주,,2.0,4.0,2.0,3.0,,
259,설성유기농쌀막걸리(만월),,2.0,3.0,2.0,3.0,,
260,설하담,,3.0,1.0,4.0,2.0,,
261,성포생막걸리,,3.0,3.0,3.0,3.0,,
262,세우리,5.0,,,,4.0,3.0,
263,세종대왕어주약주,,3.0,1.0,1.0,3.0,,
264,세종대왕어주탁주,,3.0,3.0,1.0,2.0,,
265,세종쌀막걸리,,3.0,1.0,3.0,3.0,,
266,세종알밤주,,4.0,1.0,3.0,4.0,,
267,세종오가닉청주,,1.0,3.0,,1.0,3.0,
268,세종청주생막걸리,,2.0,1.0,3.0,3.0,,
269,소나무와학,3.0,4.0,,,4.0,,
270,소백산검은콩막걸리,,3.0,1.0,1.0,3.0,,
271,소백산생막걸리,,2.0,3.0,2.0,4.0,,
272,소백산생만찬주,,2.0,2.0,2.0,2.0,,
273,소백산오곡진상주맛그래프,,1.0,4.0,3.0,3.0,,
274,소백산청동동주,,2.0,1.0,2.0,2.0,,
275,소양강생막걸리,,1.0,3.0,2.0,3.0,,
276,솔송주,,2.0,1.0,,3.0,3.0,
277,송명섭막걸리,,1.0,3.0,3.0,3.0,,
278,송이주,,1.0,4.0,1.0,2.0,,
279,송화백일주,,,,3.0,3.0,3.0,
280,순향주,,2.0,2.0,2.0,2.0,,
281,술공방9,,3.0,2.0,1.0,3.0,,
282,술그리다생탁주,,2.0,1.0,1.0,1.0,,
283,술샘이화주,,4.0,1.0,0.0,1.0,,
284,술아국화주,,4.0,3.0,2.0,4.0,,
285,술아막걸리,,3.0,4.0,3.0,4.0,,
286,술아매화주,,5.0,3.0,2.0,4.0,,
287,술아순곡주,,5.0,3.0,2.0,5.0,,
288,술아연화주,,5.0,3.0,2.0,4.0,,
289,술예쁘다생탁주,,1.0,3.0,1.0,2.0,,
290,술취한원숭이,,4.0,2.0,2.0,2.0,,
