page,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
1070,벗이랑 강황,단맛,산미,담백,바디감,탄산,강함,약함,강함,강함,없음
1071,벗이랑 조릿대,단맛,산미,담백,바디감,탄산,약함,약함,중간,강함,없음
1072,벗이랑 홍국,단맛,산미,담백,바디감,탄산,중간,약함,강함,강함,없음
1074,삼천갑자 동방주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,약함,중간,약함,약함
1085,밀담 52%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,매우강함,매우강함
1092,안동소주 일품 40% 골드,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1093,백련 미스티 살균 막걸리,단맛,산미,담백,바디감,탄산,중간,약함,중간,중간,없음
1094,고도리 샤인머스캣 와인 (망고포도),단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,중간,없음
1095,냥이탁주 5% fresh X 2병,단맛,산미,담백,바디감,탄산,중간,강함,약함,약함,없음
1096,냥이탁주 9% X 2병,단맛,산미,담백,바디감,탄산,중간,강함,약함,중간,없음
1098,부안 해풍 오디주,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
1099,삼양춘 탁주 라이트 X 3병,단맛,산미,담백,바디감,탄산,중간,중간,중간,강함,없음
1100,지란지교 약주,단맛,산미,씁쓸,바디감,담백,강함,중간,약함,강함,약함
1101,지란지교 탁주,단맛,산미,담백,바디감,탄산,중간,강함,중간,강함,없음
1102,지란지교 무화과 탁주,단맛,산미,담백,바디감,탄산,강함,중간,중간,강함,없음
1105,솔섬 17%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,약함,약함
1106,솔섬 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,강함,중간,중간
1107,막시모,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,강함,강함
1109,무작 53%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우강함,중간,매우강함,매우강함,매우강함
1110,무작 30%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,강함,강함,강함
1111,신애유자,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,중간,중간
1112,두레앙 22% X 6병,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,약함,중간,약함
1113,두레앙 일반증류주 35%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,강함,강함,강함
1115,여포의 꿈 레드와인 (스위트),단맛,산미,탄닌감,바디감,탄산,강함,중간,중간,중간,매우약함
1116,여포의 꿈 레드와인 (드라이),단맛,산미,탄닌감,바디감,탄산,매우약함,강함,중간,중간,없음
1118,만강에 비친 달 X 2병,단맛,산미,담백,바디감,탄산,강함,중간,중간,중간,없음
1119,여포의 꿈 화이트와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,없음,중간,없음
1122,모월 인 41%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,강함,강함
1123,초선의 꿈 로제와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,약함,없음
1124,치키피치,단맛,산미,탄닌감,바디감,탄산,중간,강함,매우약함,중간,중간
1125,동짓달 기나긴 밤,단맛,산미,씁쓸,바디감,담백,중간,중간,강함,강함,중간
1126,바람의 노래 X 2병,단맛,산미,담백,바디감,탄산,약함,강함,중간,중간,없음
1128,모월 로 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,약함
1129,양조학당 애,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1132,그랑꼬또 랑 로제와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,약함,없음
1134,그랑꼬또 청수 화이트와인,단맛,산미,탄닌감,바디감,탄산,매우약함,강함,없음,강함,없음
1136,샤토미소 웨딩 자두와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,중간,없음
1137,샤토미소 로제와인 (스위트),단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,없음
1138,샤토미소 퀸 아이스와인,단맛,산미,탄닌감,바디감,탄산,매우강함,강함,없음,강함,없음
1139,기다림 백미 약주,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,중간,중간
1140,기다림 흑미 약주,단맛,산미,씁쓸,바디감,담백,중간,강함,약함,중간,중간
1142,동래아들 [6병/12병],단맛,산미,담백,바디감,탄산,강함,매우약함,약함,중간,없음
1147,보일러 틀어놨어 X 2병,단맛,산미,담백,바디감,탄산,중간,매우약함,중간,중간,없음
1149,샤토미소 랑 화이트와인 (스위트),단맛,산미,탄닌감,바디감,탄산,중간,강함,없음,약함,없음
1150,샤토미소 애플 와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,약함,없음
1154,아이엠더문 아이스버켓 특별 패키지 [아이엠더문 + 아이스버킷 + 얼음집게],고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,약함
1156,샤토미소 영동,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,강함
1157,모든날에,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,약함,강함
1158,양지백주,단맛,산미,담백,바디감,탄산,중간,강함,중간,중간,없음
1164,하얀 까마귀 X 3병,단맛,산미,담백,바디감,탄산,강함,중간,중간,강함,없음
1165,여유 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,강함
1166,한주 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,약함,약함,중간,중간
1167,진도 아리랑 홍주 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,중간
1169,청비성,단맛,산미,씁쓸,바디감,담백,중간,강함,약함,강함,중간
1170,달홀진주 40%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,강함,강함
1171,농태기 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,중간
1177,운암 1945,단맛,산미,씁쓸,바디감,담백,약함,강함,약함,강함,중간
1178,우포,단맛,산미,씁쓸,바디감,담백,중간,약함,약함,약함,강함
1187,서설,단맛,산미,씁쓸,바디감,담백,약함,매우약함,약함,매우약함,강함
1188,아카시아 미드 Batch3,단맛,산미,탄닌감,바디감,탄산,강함,약함,매우약함,중간,약함
1189,얼떨결에 퍼플 X 3병,단맛,산미,담백,바디감,탄산,중간,강함,약함,약함,강함
1190,용봉소주 25%,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,중간
1191,삭제,단맛,산미,담백,바디감,탄산,중간,중간,중간,중간,없음
1196,장수 오미자주,단맛,산미,탄닌감,바디감,탄산,강함,강함,약함,약함,없음
1198,배금도가 수제 막걸리,단맛,산미,담백,바디감,탄산,약함,강함,중간,강함,없음
1199,표문 막걸리 X 4병,단맛,산미,담백,바디감,탄산,중간,중간,중간,중간,없음
1201,자연담은 복분자 막걸리 4병 세트,단맛,산미,담백,바디감,탄산,강함,약함,약함,약함,없음
1202,크라테 자두 와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,중간,중간,없음
1203,매화깊은밤,단맛,산미,씁쓸,바디감,담백,강함,중간,약함,중간,중간
1205,청주신선주 약주 16%,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,중간,약함
