score,product_id,product_name,comment
5.0,65,감사,명불허전 술샘! 바닐라같이 부드러운 맛이 참 감미로웠습니다.
5.0,65,"감사 [375ml 감사, 감사블루] ",맛있습니다 맛있습니다~~~~
4.0,65,감사,"단술좋아하는 20여에게는 좀 술맛이 많이나서 불호였으나, 평소 소주의 알코올향을 싫어하는 20남에게는 부드럽다고 극호"
3.0,65,감사,저도 달달한 술을 좋아하는 편인데 생각보다 더 많이 달았어요ㅎ 매우 단 술을 좋아하는 분에게 추천합니다
5.0,65,감사,"국화, 배꽃, 사과. 부드러우면서도 꽉 찬 밀도감에 적당한 타격감. 향미가 풍성하면서도 고우며 밸런스가 좋아 고급스럽다. 왠지 요즘 마시고 있는 모 차창의 병배차가 떠오르는데 가격에 비해 놀라운 퍼포먼스를 보여주는 점도 비슷하다."
4.0,66,술샘16,달달한 편이었지만 알쓰인 저한테는 좀 안맞았어요
4.5,66,술샘16,"보자마자 영롱한 자태입니다.
맛도 너무궁금하네요ㅎㅎ
얼른 먹어보고싶다용
틀림이가 없이 맛있겠죵?
요즘 전통주에 빠져있는데 이런게 낭만이고 풍류아니겠습니까? 앞으로도 좋은 술 많이 부탁드립니당ㅋㅋㅋㅋ"
5.0,66,술샘16,
5.0,66,술샘16,예쁜데 맛도 좋아 증말~
5.0,66,술샘16,
5.0,66,술샘16,맛있어요 역시! 조만간 또 사마셔야지
5.0,66,술샘16,맛있어요 은은한 향도 좋고 너무 달지도 읺구요
4.5,66,술샘16,
5.0,66,술샘16,오미자 맛이 달달하면서도 거부감없이 맛있아요
5.0,66,술샘16,맛이 진하지 않고 은은한 오미자향이 나서 좋았어요. 치즈나 과일과 잘 어울릴 것 같아요 :)
0.5,66,술샘16,흠 ……
5.0,66,술샘16,"색상도 이쁘고 맛도 너무 상콤해서 좋았어요~
"
5.0,66,술샘16,
5.0,66,술샘16,오미자맛! 맛있어용! 다른데서 먹어보고 맛있어서 술샘 다른 술들이랑 같이 구매했어요
5.0,66,술샘16,인위적으로 달지 않고 새콤달콤 맛있는 술! 16도 인데도 불구하고 알콜향이 아주 강하지도 않아요. 수제 오미자청 타서 마시는 느낌..!
4.0,66,[9+1] 술샘16,
5.0,66,술샘16,dsfsdfasdf
5.0,66,술샘16,
5.0,66,술샘16,술담화 구독을 통해 알게됐는데 취향에 제일 잘 맞아 따로 주문했습니다!
5.0,66,술샘16,16도인데 술술 넘어가는 맛있는 술! 색도 예쁘고 맛도 좋고 술자리 즐겁게 즐겼어요 :)
5.0,66,[9+1] 술샘16,술병도 이쁘고 재구매각이에요
5.0,66,[9+1] 술샘16,오미자 맛이 생각보다 강한데 제 입엔 좋아요~ 신랑은 이거보단 꿀샘이 더 맛있다고 하네요~ 쌉싸름한데 끝에는 좋은향이 올라와서 좋았어요~ 
5.0,66,[9+1] 술샘16,넘 예쁘고 맛도 좋았습니다 가족들과 함께 나눠먹기에 너무 좋은 술이었어용 ㅎㅎ또 주문하겠습니다!!
5.0,66,술샘 16,깔끔한 오미자맛을 증류주로 이정도 가격에 즐길 수 있는건 정말 축복같습니다!
5.0,66,술샘16,무조건 추천이에요! 향긋한 술 찾을때 꼭 드세요!
5.0,66,[9+1] 술샘16,오미자 맛이 의외로 꽤나서 너무 좋았어요
5.0,66,[9+1] 술샘16,"유자차 빌런입니다. 이게 또 아주 조합상 최고입니다. 술 한모금 - 유자차 반 모금에 세상을 가질 수 있습니다. 약간의 씁쓸함이 목구멍과 입 사이에서 맴 돌때, 유자차의 단 맛이 극대화 되면서 입 자체가 술 마시기 전으로 리셋됩니다. 

내가 왜 이걸 유자차랑 마시게 된거지...? 여튼 최고임."
5.0,66,[3+1] 술샘16,배송도 아주 빠르고 깨진곳 없이 안전하게 잘왔네요! 너무 예쁩니다. 맛이 좋다고 해서 기대중이에요.
4.0,66,술샘16,제가 오미자 맛을 잘 몰라서 그런지 생각보다 신맛? 단맛?은 느껴지지 않았고 약간의 한방느낌의 향?ㅎㅎ 맛은 괜찮았지만 약간의 호불호가 있을거 같다는 생각하였습니다! 달달한거 좋아하시면 꿀주나 매실주로 구매하심이 좋을것 같습니다! 그나저나 심플한 병 디자인은 진짜 이쁘네요ㅎ
5.0,66,술샘16,오미자향이 나면서 색도 예쁘고 깔끔한 맛이예요
5.0,66,술샘16,향과 무겁지않은 도수덕분에 술못하는사람한테도 토닉에 타먹으면 괜찮은거같아요
5.0,66,술샘 16,"오미자 맛이 잘 살아있음
ㄹㅇ 다섯 가지 맛이 나는데 오미자 마시는 줄
어르신들이 좋아하실 맛"
5.0,66,술샘16,맛있어요ㅜㅜ! 홍초 좋아하는데 그런 느낌의 상큼함입니다!
4.0,66,술샘16 [3병 구매시1병 증정] ,"그냥먹기엔 뭔가 인위적이나 토닉워터 섞어먹으니 배로 맛있었습니다^^
색과 함께 어우러진 디자인은 눈을 즐겁게 하네요 ㅎㅎ 예뻐요
"
5.0,66,술샘16,선물용으로 넘 ㅜ좋아여 ~
3.0,66,술샘16,가벼운 과일향이 맴도는 맛
5.0,66,술샘16,깔끔하고 너무 맛있었어요
