index,제품명,page,food1,food2,food3
215,복순도가손막걸리,135,수육,짜장면,해물 파전
216,볼빨간막걸리10,1237,맥앤치즈,돼지국밥,닭곰탕
220,부안참뽕와인,131,블루베리 치즈 케이크,장어구이,떡볶이
221,부자10,1257,녹두전,순대 볶음,나가사키 짬뽕
223,붉은원숭이,153,견과류,치즈 케이크,크래커
231,삼양춘생약주,151,두부구이,꼬막 무침,문어 숙회
232,삼양춘생탁주,72,해물 라면,코다리찜,해물 파전
233,삼양춘청주,231,과일치즈,조개찜,연어초밥
234,샤토미소랑,1149,LA갈비,깐쇼새우,감귤 타르트
237,샤토미소스위트로제,1137,과일치즈,불고기,로제 떡볶이
238,샤토미소영동,1156,방어회,대구지리탕,삼치구이
240,서울의밤,70,샤브샤브,광어회,주꾸미 볶음
249,선호생막걸리,284,두부구이,나쵸,해물 파전
254,설하담,346,두부,순대,크래커
257,세종대왕어주약주,208,조개찜,호박전,흰살생선회
258,세종대왕어주탁주,207,두부구이,버섯 전골,오뎅탕
260,세종알밤주,126,소 불고기,군만두,중국식 냉채
270,솔송주,93,배추전,문어 숙회,전복간장조림
272,송이주,303,두부구이,광어회,등심 스테이크
275,술공방9,198,닭발,마라탕,돼지갈비 찜
276,술그리다생탁주,84,김치전,백반,감자전
278,술아국화주,147,약과,산적 꼬치,돼지고기 김치찜
280,술아매화주,103,약과,산적 꼬치,돼지고기 김치찜
281,술아순곡주,111,돼지갈비 찜,참치회,어묵전골
282,술아연화주,105,약과,산적 꼬치,돼지고기 김치찜
284,술취한원숭이,75,떡갈비,불고기,양념 치킨
291,시나브로에뚜왈로제스파클링와인,1061,프로슈토,올리브,크림치즈
292,시나브로에뚜왈스파클링,309,리코타치즈,시저 샐러드,프로슈토
295,신례명주,1338,양념갈비,딱새우 회,유산슬
298,신선주약주,1205,도토리묵 무침,오징어 초무침,냉채 족발
306,안동소주일품17,333,닭발,삼겹살,순대국
307,안동소주일품21,334,보쌈,양장피,오징어 초무침
308,안동소주일품골드,1092,고등어구이,산적 꼬치,삼겹살
313,애피소드상그리아,110,과일치즈,크래커,쉬폰 케이크
314,애피소드애플,112,과일,크래커,햄버거
321,여포의꿈레드드라이,1116,오리 고기,안심 스테이크,삼치구이
322,여포의꿈레드스위트,1115,과일치즈,당근 케이크,솔트 카라멜 아몬드
323,여포의꿈화이트,1119,떡갈비,연어 스테이크,치킨너겟
334,예천주복만월24,1043,바지락 술찜,참치회,참소라
335,예천주복만월40,1054,삼겹살,방어회,고등어 회
341,오매백주,241,골뱅이 무침,해물 파전,족발
343,오메기술,129,치즈,흑돼지 삼겹살,생선회
346,오미로제프리미어와인,100,버섯구이,소고기 등심구이,더덕구이
348,오산막걸리,240,김치전,계란말이,견과류
349,오희스파클링막걸리,138,조개탕,바지락 칼국수,딸기
353,우도땅콩전통주,117,아구찜,성게보말국,해물찜
355,운암1945,1177,소시지,해물 파전,생선회
356,원매,213,골뱅이 무침,초계국수,칠리 새우
361,유기농이도14,1014,불고기,닭갈비,해물탕
369,이강주25,1250,떡갈비,육전,데리야끼 치킨
370,이도32,1013,삼겹살,곱창,족발
380,자연담은복분자막걸리,1201,전복 버터구이,삼계탕,장어구이
386,장수오미자주,1196,돼지갈비 찜,간장 불고기,치킨 샐러드
388,정고집나주배약주15,1227,에그타르트,치킨 샐러드,육사시미
397,조은술세종바나나주,119,바나나,감자전,카스테라
404,지란지교무화과탁주,1102,불족발,곱창,훈제오리 냉채
405,지란지교약주,1100,간장 치킨,굴국,버섯 볶음
406,지란지교탁주,1101,라자냐,가지볶음,버터 갈릭 새우
416,진맥소주40,227,수육,참치회,하몽
417,진맥소주53,1008,보쌈,장어구이,안심 스테이크
431,천비향오양주약주,87,소고기 안심,찜닭,비빔면
432,천비향오양주탁주,86,닭볶음탕,비빔밥,두부부침
433,천비향화주,85,굴비,곱창전골,홍어 삼합
436,청남대블루베리생막걸리,307,프로슈토,견과류,치즈 케이크
437,청명주,116,매운탕,고등어 김치찜,어죽
447,초선의꿈로제,1123,리코타치즈,가리비 치즈 구이,요거트
448,추사40,81,육포,견과류,크래커
450,추사백25,1063,샤브샤브,보쌈,양꼬치
452,추사애플와인,82,육회,불고기,찜닭
465,크라테로제와인,295,크림 파스타,베이컨,조개구이
471,펀치쌀바나나 ,128,낙지 볶음,김치전,과일 파르페
473,편백숲산소막걸리딸기스파클링,292,삼겹살,양고기,홍어 무침
493,한스오차드사과와인,113,제육 볶음,연어초밥,리코타치즈
510,허니문와인,96,산적 꼬치,마카롱,쉬폰 케이크
511,허니비와인,98,약과,핑거푸드,다식
518,혼디주,224,과일 샐러드,밀푀유나베,생선회
520,홍삼명주,76,닭볶음탕,녹두전,삼계탕
522,화주,314,견과류,한우 스테이크,스모크치즈
524,황금보리소주25,1242,크림 새우,연어초밥,꿔바로우
532,희양산막걸리9,1207,탕수육,칠리 새우,양념 치킨
