page,name,food1,food2,food3
181,병영소주,삼겹살,명란젓,장어구이
182,병영사또,삼겹살,명란젓,장어구이
188,수제 약주 별바랑,밀푀유나베,산낙지,족발
189,수제 탁주 바랑,족발,불고기,주꾸미 볶음
190,고도리 복숭아 와인,연어샐러드,리코타치즈,마들렌
193,고도리 화이트 와인 (스위트),조개구이,닭가슴살,흰살생선회
194,고흥 유자주 8%,오일 파스타,크림 새우,탕수육
196,고도리 화이트 청수 와인,과일 샐러드,고르곤졸라 피자,흰살생선회
197,단상지교,굴비,양념갈비,빈대떡
198,술공방 9.0 X 3병,닭발,마라탕,돼지갈비 찜
199,하타,오뎅탕,고등어구이,생선회
200,구기홍주,두부과자,약과,땅콩
202,겨울소주 25%,매운탕,삼겹살,오돌뼈
207,세종대왕어주 탁주,두부구이,버섯 전골,오뎅탕
208,세종대왕어주 약주,조개찜,호박전,흰살생선회
213,원매 15%,골뱅이 무침,초계국수,칠리 새우
219,댄싱파파,크림 파스타,후라이드 치킨,크래커
220,스윗마마,카프레제,호두파이,비빔면
221,더그린치 X 6병,감자튀김,크림 파스타,초밥
222,요새로제,물회,라자냐,치즈 케이크
224,혼디주,과일 샐러드,밀푀유나베,생선회
225,경성 과하주,새우튀김,갈비찜,곶감치즈말이
226,복단지,제육 볶음,돼지갈비 찜,장어구이
227,진맥소주 40%,수육,참치회,하몽
231,삼양춘 청주,과일치즈,조개찜,연어초밥
240,오산 막걸리 [3병/12병],김치전,계란말이,견과류
241,[라스트 구매찬스!] 오매백주 [3병/12병],골뱅이 무침,해물 파전,족발
243,독산 30%,육포,연포탕,흰살생선회
244,독산 53%,육포,연포탕,흰살생선회
249,문배술 2병 헤리티지 선물세트 (잔 포함),굴,불고기,삼치구이
253,오미로제 연,새우 오일 파스타,연어샐러드,육전
254,꿀샘16,고르곤졸라 피자,브루스케타,떡꼬치
255,부자진,육포,목살구이,참치타다끼
257,토박이 한산 소곡주,샤브샤브,제육 볶음,약과
275,문삼이공 잣,순대,불고기,떡볶이
276,왕율주 33%,딱새우 회,전어회,갈비 구이
277,애플사이더 헤베 X 6병,막국수,고르곤졸라 피자,초밥
278,시향가 X 3병,조개탕,부추전,삼겹살
279,나루 생 막걸리 6% [3병/6병],육포,크래커,햄
280,커피냑,초코 케이크,크래커,아포카토
281,제주 몬순 커피주,쉬폰 케이크,비스킷,모카번
282,문삼이공 탁주,쫄면,전복 버터구이,장어구이
283,문삼이공 약주,고등어구이,보쌈,두부부침
284,선호 생 막걸리 X 20병,두부구이,나쵸,해물 파전
286,김포 특주,간장 게장,감자탕,시금치 무침
292,편백숲 산소막걸리 딸기 스파클링,삼겹살,양고기,홍어 무침
293,고도리 체리 와인,고구마,크로아상,아몬드
294,고도리 자두 와인,크림 파스타,탕수육,불고기
295,크라테 로제 미디엄 드라이,크림 파스타,베이컨,조개구이
296,크라테 화이트 스위트,치즈,고르곤졸라 피자,카프레제
297,크라테 산머루 미디엄 드라이,육포,연어초밥,구운 버섯
298,크라테 산머루 드라이,소고기 안심,닭 안심 스테이크,구운 버섯
299,술샘19,고등어 회,크림소스 연어 스테이크,장어구이
300,아이엠더문 오리지널,카나페,연어샐러드,치즈 케이크
303,송이주,두부구이,광어회,등심 스테이크
304,능이주,막창,시래기 무침,족발
306,대왕 산삼 생 막걸리 X 6병,마라샹궈,삼계탕,불고기
307,청남대 블루베리 생 막걸리 X 6병,프로슈토,견과류,치즈 케이크
308,와쥬블루,스트링치즈,슬라이스 햄,고등어 회
309,시나브로 에뚜왈 화이트 스파클링 와인,리코타치즈,시저 샐러드,프로슈토
310,담화탁주 X 2병,순대 볶음,양념 치킨,떡볶이
312,토박이 소곡화주,조개구이,산낙지,불고기
313,녹파주,연잎밥,쑥전,문어 숙회
314,화주,견과류,한우 스테이크,스모크치즈
315,가덕 순쌀 생 막걸리 X 6병,육전,해물 파전,감자전
318,배꽃 필 무렵 잣잎 X 3병,마카롱,스테이크,초콜릿
320,나루 생 막걸리 11.5% [3병/8병],튀김,생크림 케이크,고기 만두
324,려 증류소주 40%,곱창,양꼬치,참치회
325,밀담 24%,아몬드,치즈플레이트,파인애플
326,밀담 40%,아몬드,치즈플레이트,파인애플
327,미상 25%,삼겹살,문어 숙회,해삼
330,264 청포도 와인 꽃 (Medium Sweet),굴,브루스케타,닭가슴살 샐러드
331,264 청포도 와인 절정 (Medium Dry),연어 스테이크,흰살생선회,생선찜
332,264 청포도 와인 광야 (Dry),초밥,육회,족발
333,안동소주 일품 17% [6병/12병],닭발,삼겹살,순대국
334,안동소주 일품 21% [6병/12병],보쌈,양장피,오징어 초무침
335,안동소주 일품 40% [6병/12병],연포탕,삼계탕,장어구이
339,매실 향기 담은 술,방어회,감자전,탕수육
340,금산인삼주 수삼 23%,연포탕,삼계탕,장어구이
343,제주 허니와인 오어,수플레,마들렌,카스테라
344,제주 허니와인 오어 루비,치즈 케이크,롤 케이크,피자
345,려 증류소주 25%,조개구이,육회,홍어 무침
346,설하담 X 2병,두부,순대,크래커
350,동몽,연어 스테이크,오리 구이,두부부침
351,오크랜드 X 2병,슬라이스 햄,갈비찜,에그타르트
352,금이산 복숭아 와인,롤 케이크,마들렌,광어회
353,부자진 오미자,마라샹궈,양꼬치,버섯구이
354,금산인삼주 약주 [3병/6병/15병],두부김치,감자조림,간장 불고기
357,려 고구마 증류소주 25%,불고기,두부김치,감자조림
358,려 고구마 증류소주 40%,동파육,곱창,족발
362,별산 막걸리 [3병/5병],오징어 초무침,주꾸미 볶음,양념 치킨
363,루드베리,크림 파스타,카프레제,피자
